x, y, theta, left_speed, right_speed, left_bump, right_bump
15.15,0.14,0.01,0.17,0.17,0.26,0.10
32.69,0.32,0.01,0.24,0.25,0.19,0.08
48.82,0.50,0.01,0.36,0.35,0.16,0.05
65.93,0.70,0.01,0.36,0.36,0.11,0.05
82.06,0.80,0.00,0.35,0.33,0.08,0.04
97.22,0.84,0.00,0.29,0.29,0.06,0.03
114.61,0.92,0.00,0.30,0.30,0.09,0.08
130.74,1.02,0.01,0.37,0.37,0.08,0.09
147.58,1.10,0.00,0.40,0.39,0.08,0.09
163.85,1.07,-0.01,0.39,0.37,0.08,0.09
179.70,0.96,-0.01,0.37,0.35,0.07,0.10
196.26,0.75,-0.02,0.39,0.39,0.09,0.09
212.53,0.49,-0.02,0.37,0.39,0.07,0.10
228.52,0.24,-0.02,0.28,0.27,0.07,0.08
247.18,-0.08,-0.02,0.33,0.33,0.08,0.11
264.57,-0.40,-0.02,0.49,0.49,0.06,0.08
281.54,-0.75,-0.02,0.36,0.36,0.05,0.05
298.51,-0.99,-0.01,0.48,0.48,0.06,0.06
314.22,-1.18,-0.01,0.28,0.29,0.07,0.06
329.52,-1.27,-0.00,0.39,0.41,0.07,0.06
345.37,-1.27,0.00,0.45,0.45,0.09,0.08
362.76,-1.24,0.01,0.33,0.33,0.07,0.04
377.77,-1.14,0.01,0.29,0.30,0.09,0.12
394.05,-0.95,0.01,0.37,0.36,0.05,0.05
409.90,-0.76,0.01,0.36,0.39,0.06,0.08
424.63,-0.52,0.02,0.36,0.36,0.06,0.08
439.49,-0.25,0.02,0.62,0.61,0.04,0.05
454.78,-0.02,0.01,0.36,0.36,0.05,0.07
470.92,0.17,0.01,0.34,0.34,0.03,0.04
485.79,0.28,0.00,0.26,0.26,0.06,0.06
502.20,0.32,0.01,0.53,0.55,0.01,-0.00
517.49,0.44,0.01,0.23,0.25,0.08,0.10
532.22,0.51,0.01,0.33,0.34,0.09,0.07
549.20,0.51,-0.01,0.29,0.26,0.09,0.05
564.49,0.40,-0.01,0.26,0.26,0.07,0.03
581.88,0.29,-0.01,0.28,0.28,0.08,0.03
599.84,0.19,-0.01,0.22,0.22,0.09,0.05
617.23,0.08,-0.01,0.20,0.21,0.06,0.00
634.35,-0.02,-0.01,0.22,0.21,0.09,0.03
651.46,-0.13,-0.01,0.28,0.28,0.06,0.01
667.04,-0.23,-0.00,0.26,0.27,0.12,0.07
684.15,-0.33,-0.00,0.21,0.22,0.09,0.06
700.28,-0.38,-0.00,0.25,0.26,0.08,0.05
715.86,-0.38,0.00,0.20,0.18,0.05,0.04
732.55,-0.37,-0.00,0.22,0.20,0.07,0.06
748.68,-0.40,-0.00,0.22,0.22,0.06,0.05
763.55,-0.49,-0.01,0.17,0.17,0.07,0.06
779.55,-0.64,-0.01,0.24,0.22,0.06,0.05
795.40,-0.80,-0.01,0.20,0.22,0.07,0.07
810.41,-0.96,-0.01,0.25,0.25,0.08,0.06
825.56,-1.11,-0.01,0.15,0.17,0.08,0.07
842.39,-1.26,-0.01,0.16,0.16,0.09,0.09
858.81,-1.45,-0.01,0.16,0.14,0.10,0.09
875.08,-1.70,-0.01,0.20,0.18,0.09,0.06
890.93,-1.93,-0.02,0.22,0.26,0.11,0.06
908.04,-2.18,-0.01,0.17,0.17,0.11,0.06
925.16,-2.32,-0.01,0.17,0.17,0.10,0.06
940.45,-2.42,-0.01,0.20,0.20,0.08,0.04
956.44,-2.53,-0.01,0.22,0.22,0.09,0.05
972.85,-2.60,-0.00,0.24,0.24,0.09,0.04
988.85,-2.68,-0.00,0.19,0.17,0.09,0.06
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
