x, y, theta, left_speed, right_speed, left_bump, right_bump
17.26,0.11,0.01,0.20,0.18,0.24,0.05
34.37,0.30,0.01,0.26,0.26,0.21,0.05
49.10,0.49,0.01,0.45,0.45,0.14,0.02
65.09,0.67,0.01,0.47,0.48,0.13,0.04
81.50,0.88,0.01,0.48,0.45,0.09,0.06
98.76,1.09,0.01,0.48,0.48,0.07,0.04
116.01,1.33,0.02,0.36,0.38,0.06,0.05
133.68,1.62,0.02,0.51,0.51,0.09,0.10
152.06,1.85,0.01,0.52,0.49,0.08,0.10
169.46,1.94,-0.00,0.52,0.50,0.06,0.08
186.85,1.91,-0.01,0.51,0.50,0.08,0.11
204.25,1.75,-0.01,0.51,0.48,0.08,0.11
221.64,1.48,-0.02,0.53,0.53,0.07,0.12
238.47,1.16,-0.02,0.47,0.45,0.06,0.06
255.58,0.83,-0.02,0.44,0.42,0.09,0.09
273.40,0.47,-0.02,0.51,0.49,0.06,0.05
292.33,0.08,-0.02,0.41,0.41,0.05,0.05
310.15,-0.27,-0.02,0.34,0.34,0.06,0.06
327.54,-0.55,-0.01,0.30,0.32,0.07,0.07
343.11,-0.70,-0.01,0.34,0.36,0.01,-0.00
357.98,-0.80,-0.01,0.36,0.36,0.09,0.09
372.99,-0.90,-0.00,0.35,0.36,0.08,0.07
388.56,-0.98,-0.01,0.65,0.65,0.06,0.05
405.82,-1.08,-0.00,0.36,0.39,0.06,0.06
421.39,-1.11,-0.00,0.37,0.37,0.07,0.07
436.54,-1.10,-0.00,0.33,0.34,0.06,0.08
451.69,-1.05,0.01,0.32,0.34,0.04,0.04
466.70,-0.98,0.00,0.36,0.34,0.06,0.09
484.52,-0.92,-0.00,0.34,0.34,0.06,0.06
502.48,-0.87,0.01,0.29,0.28,0.06,0.05
519.03,-0.78,0.01,0.37,0.39,0.07,0.03
535.02,-0.65,0.01,0.29,0.31,0.08,0.04
550.03,-0.38,0.02,0.28,0.30,0.08,0.04
565.18,-0.05,0.02,0.27,0.24,0.09,0.04
581.59,0.15,0.01,0.25,0.22,0.08,0.01
597.72,0.11,-0.01,0.25,0.22,0.09,0.02
612.59,-0.12,-0.02,0.26,0.25,0.09,0.00
627.60,-0.25,-0.00,0.22,0.23,0.09,0.00
645.14,-0.34,-0.01,0.21,0.21,0.09,0.00
660.85,-0.49,-0.01,0.24,0.24,0.10,0.00
677.97,-0.65,-0.01,0.28,0.28,0.10,0.01
693.40,-0.79,-0.00,0.27,0.26,0.13,0.03
710.37,-0.84,-0.00,0.21,0.22,0.14,0.05
725.10,-0.81,0.01,0.20,0.21,0.15,0.07
740.67,-0.66,0.01,0.24,0.27,0.11,0.05
757.37,-0.43,0.01,0.22,0.22,0.09,0.05
772.52,-0.35,0.00,0.23,0.25,0.08,0.05
787.25,-0.34,-0.01,0.17,0.16,0.09,0.08
803.10,-0.50,-0.02,0.22,0.20,0.09,0.06
818.39,-0.79,-0.02,0.20,0.20,0.10,0.07
833.39,-1.12,-0.02,0.20,0.19,0.12,0.07
849.52,-1.63,-0.03,0.17,0.17,0.12,0.07
865.64,-2.18,-0.04,0.19,0.17,0.14,0.08
880.93,-2.72,-0.04,0.22,0.20,0.15,0.07
896.21,-3.31,-0.04,0.22,0.24,0.12,0.04
912.19,-3.84,-0.03,0.18,0.18,0.11,0.04
927.62,-4.29,-0.03,0.38,0.38,0.11,0.05
943.18,-4.72,-0.03,0.17,0.16,0.12,0.04
959.31,-5.14,-0.03,0.25,0.22,0.09,0.03
974.45,-5.59,-0.03,0.29,0.31,0.09,0.03
991.28,-6.08,-0.03,0.16,0.17,0.10,0.04
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
