heading
0.01
0.01
0.01
0.01
0.01
0.01
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.03
0.03
0.03
0.04
0.04
0.05
0.05
0.06
0.06
0.07
0.08
0.08
0.09
0.10
0.10
0.11
0.12
0.12
0.13
0.14
0.15
0.16
0.17
0.18
0.19
0.20
0.20
0.21
0.22
0.23
0.24
0.25
0.26
0.27
0.28
0.29
0.30
0.31
0.33
0.34
0.35
0.36
0.37
0.39
0.40
0.41
0.42
0.44
0.45
0.46
0.47
0.49
0.50
0.52
0.53
0.55
0.56
0.58
0.59
0.60
0.62
0.63
0.65
0.67
0.68
0.70
0.72
0.74
0.76
0.78
0.80
0.82
0.84
0.86
0.87
0.89
0.91
0.93
0.95
0.97
0.98
0.99
1.01
1.03
1.05
1.07
1.08
1.10
1.12
1.13
1.15
1.17
1.19
1.21
1.23
1.24
1.26
1.28
1.30
1.32
1.34
1.35
1.38
1.40
1.42
1.44
1.46
1.48
1.50
1.52
1.54
1.56
1.58
1.60
1.62
1.64
1.66
1.68
1.70
1.72
1.74
1.76
1.77
1.79
1.81
1.85
1.87
1.90
1.92
1.95
1.97
2.00
2.02
2.05
2.08
2.12
2.15
2.19
2.24
2.30
2.36
2.43
2.49
2.56
2.62
2.69
2.76
2.82
2.90
2.97
3.04
3.12
3.19
3.26
3.33
3.40
3.48
3.55
3.62
3.70
3.77
3.84
3.90
3.97
4.04
4.10
4.16
4.21
4.26
4.31
4.36
4.41
4.45
4.49
4.53
4.58
4.63
4.67
4.70
4.74
4.79
4.84
4.89
4.94
4.99
5.05
5.11
5.18
5.25
5.31
5.38
5.45
5.52
5.59
5.66
5.73
5.80
5.87
5.94
6.01
6.12
6.19
6.27
6.34
6.41
6.44
6.51
6.58
6.65
6.75
6.82
6.89
6.95
7.02
7.09
7.16
7.22
7.26
