heading
0.33
0.33
0.33
0.33
0.34
0.34
0.34
0.35
0.35
0.36
0.36
0.36
0.36
0.37
0.37
0.37
0.38
0.38
0.38
0.39
0.39
0.39
0.40
0.40
0.41
0.41
0.42
0.42
0.42
0.43
0.43
0.44
0.44
0.45
0.46
0.46
0.47
0.48
0.48
0.49
0.50
0.50
0.51
0.52
0.53
0.53
0.54
0.55
0.56
0.56
0.57
0.58
0.59
0.60
0.61
0.62
0.63
0.63
0.64
0.65
0.66
0.67
0.68
0.69
0.69
0.70
0.71
0.72
0.73
0.74
0.75
0.75
0.76
0.77
0.78
0.79
0.80
0.81
0.81
0.82
0.83
0.84
0.85
0.86
0.87
0.88
0.89
0.90
0.91
0.92
0.93
0.94
0.96
0.97
0.98
1.00
1.01
1.03
1.04
1.06
1.07
1.08
1.10
1.11
1.12
1.14
1.15
1.16
1.18
1.19
1.20
1.22
1.23
1.24
1.25
1.26
1.28
1.29
1.30
1.31
1.32
1.33
1.35
1.36
1.37
1.38
1.39
1.39
1.40
1.42
1.43
1.45
1.47
1.48
1.52
1.56
1.60
1.64
1.67
1.74
1.81
1.88
1.95
2.02
2.10
2.18
2.27
2.35
2.42
2.50
2.58
2.66
2.73
2.80
2.86
2.93
3.00
3.08
3.17
3.26
3.35
3.44
3.57
3.70
3.83
3.96
4.11
4.28
4.45
4.62
4.79
4.99
5.19
5.39
5.59
5.79
6.02
6.26
6.49
6.72
6.97
7.23
7.49
7.76
8.02
8.30
8.58
8.86
9.14
9.45
9.77
10.10
10.42
10.75
11.10
11.48
11.86
12.24
12.62
13.08
13.54
14.01
14.47
14.96
15.48
16.00
16.52
17.04
17.65
18.27
18.85
19.44
19.73
20.42
21.04
21.67
22.29
22.92
23.57
24.22
24.87
25.52
26.17
26.83
27.49
28.14
28.80
29.39
29.99
30.59
31.18
31.76
