right bot
left_range, right_range, left_min, right_min
748.00,948.00,520.00,692.00
776.00,920.00,500.00,704.00
864.00,968.00,500.00,720.00
748.00,824.00,500.00,708.00
776.00,920.00,512.00,696.00

left_range: 782.4
right_range: 916.0
left_min: 506.4
right_min: 704.0


left bot
left_range, right_range, left_min, right_min
1416.00,1352.00,632.00,684.00
1300.00,1476.00,632.00,668.00
1408.00,1576.00,632.00,668.00
1404.00,1472.00,636.00,660.00
1436.00,1576.00,632.00,656.00

left_range: 1392.8
right_range: 1490.4
left_min: 632.8
right_min: 667.2
