x, y, theta, left_speed, right_speed, left_bump, right_bump
15.43,-0.23,-0.01,0.11,0.12,0.32,0.18
30.72,-0.34,-0.00,0.15,0.17,0.27,0.11
45.87,-0.38,-0.00,0.22,0.20,0.28,0.12
61.02,-0.44,-0.00,0.27,0.27,0.25,0.12
77.58,-0.44,0.00,0.26,0.28,0.26,0.12
92.73,-0.35,0.00,0.25,0.24,0.21,0.10
108.02,-0.31,0.01,0.32,0.30,0.25,0.14
123.59,-0.27,0.00,0.29,0.29,0.23,0.12
140.29,-0.18,0.01,0.33,0.31,0.21,0.13
158.38,-0.03,0.01,0.29,0.29,0.19,0.09
175.78,0.12,0.01,0.40,0.39,0.23,0.12
193.59,0.35,0.01,0.34,0.34,0.21,0.08
211.27,0.63,0.02,0.36,0.34,0.19,0.10
226.13,0.95,0.03,0.36,0.36,0.19,0.11
241.28,1.36,0.03,0.22,0.24,0.18,0.08
256.71,1.75,0.03,0.36,0.36,0.19,0.10
271.43,2.15,0.03,0.34,0.36,0.15,0.10
286.15,2.58,0.03,0.36,0.34,0.19,0.14
304.94,3.17,0.03,0.31,0.31,0.15,0.10
319.95,3.70,0.04,0.31,0.32,0.13,0.11
335.22,4.36,0.05,0.30,0.32,0.15,0.13
350.36,5.00,0.05,0.32,0.32,0.16,0.14
365.78,5.70,0.05,0.32,0.32,0.10,0.11
381.33,6.36,0.04,0.32,0.33,0.13,0.14
396.05,6.99,0.05,0.31,0.31,0.10,0.14
411.05,7.70,0.05,0.31,0.31,0.06,0.14
426.32,8.41,0.05,0.31,0.31,0.10,0.18
441.60,9.10,0.04,0.30,0.29,0.08,0.16
456.59,9.72,0.04,0.32,0.31,0.05,0.11
472.72,10.31,0.04,0.23,0.23,0.10,0.24
489.26,10.88,0.04,0.36,0.36,0.05,0.11
505.95,11.46,0.03,0.51,0.48,0.03,0.16
521.37,11.96,0.03,0.43,0.43,0.05,0.18
537.22,12.43,0.03,0.40,0.40,0.05,0.13
553.06,12.82,0.02,0.39,0.39,0.03,0.14
568.21,13.12,0.02,0.43,0.43,0.06,0.16
583.92,13.37,0.01,0.45,0.43,0.04,0.14
599.77,13.55,0.01,0.39,0.39,0.07,0.15
614.64,13.69,0.01,0.43,0.42,0.05,0.15
630.07,13.81,0.00,0.39,0.37,0.07,0.15
645.37,13.88,0.01,0.37,0.39,0.07,0.13
660.10,13.98,0.00,0.40,0.40,0.04,0.11
675.67,13.99,0.00,0.45,0.45,0.09,0.14
690.82,14.00,0.00,0.41,0.43,0.12,0.17
705.69,13.99,0.00,0.32,0.31,0.10,0.13
720.70,13.96,-0.00,0.37,0.37,0.14,0.17
735.71,13.94,0.00,0.37,0.39,0.11,0.14
750.86,13.91,0.00,0.47,0.45,0.14,0.17
766.86,13.90,0.00,0.30,0.31,0.09,0.11
784.53,13.92,0.00,0.40,0.38,0.12,0.13
801.65,13.92,0.00,0.34,0.34,0.14,0.17
818.90,13.94,0.00,0.34,0.34,0.11,0.14
835.32,14.00,0.00,0.44,0.44,0.10,0.14
852.29,13.99,-0.00,0.31,0.31,0.12,0.14
869.13,13.98,-0.00,0.34,0.31,0.10,0.13
887.08,13.92,-0.00,0.29,0.29,0.08,0.14
901.95,13.87,-0.00,0.34,0.34,0.11,0.14
916.68,13.80,-0.01,0.34,0.34,0.12,0.17
934.92,13.68,-0.01,0.27,0.27,0.10,0.15
949.65,13.57,-0.01,0.29,0.29,0.13,0.18
964.94,13.40,-0.01,0.50,0.50,0.11,0.15
984.30,13.16,-0.01,0.28,0.29,0.06,0.10
999.31,12.96,-0.02,0.26,0.28,0.09,0.11
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
