x, y, theta, left_speed, right_speed, left_bump, right_bump
15.29,0.25,0.02,0.13,0.14,0.15,0.06
31.42,0.65,0.03,0.20,0.20,0.12,0.03
47.54,1.07,0.02,0.27,0.25,0.09,0.02
62.69,1.45,0.03,0.25,0.27,0.11,0.02
77.84,1.84,0.03,0.27,0.28,0.10,0.03
93.12,2.30,0.03,0.22,0.22,0.09,0.02
107.99,2.74,0.03,0.35,0.35,0.07,-0.01
123.83,3.29,0.04,0.31,0.31,0.09,0.03
138.55,3.82,0.04,0.27,0.30,0.11,0.04
154.11,4.46,0.04,0.21,0.21,0.13,0.04
168.83,5.07,0.04,0.33,0.33,0.13,0.01
185.23,5.64,0.04,0.25,0.25,0.14,0.03
199.95,6.17,0.04,0.34,0.36,0.14,0.03
214.67,6.74,0.04,0.36,0.36,0.09,0.02
229.67,7.41,0.05,0.27,0.29,0.11,0.01
245.22,8.19,0.05,0.36,0.37,0.12,0.03
260.77,9.03,0.05,0.28,0.27,0.09,0.00
276.88,9.88,0.05,0.37,0.39,0.11,0.02
293.55,10.77,0.05,0.30,0.31,0.10,0.01
309.94,11.63,0.05,0.28,0.29,0.08,0.01
327.31,12.64,0.06,0.40,0.42,0.10,0.02
344.25,13.70,0.06,0.40,0.42,0.07,0.01
360.63,14.77,0.07,0.29,0.30,0.08,0.02
377.43,15.86,0.06,0.40,0.39,0.06,0.02
394.23,16.89,0.06,0.39,0.39,0.09,0.05
413.97,18.12,0.06,0.40,0.40,0.07,0.03
431.05,19.24,0.06,0.32,0.34,0.06,0.03
447.29,20.34,0.07,0.32,0.34,0.05,0.04
463.94,21.50,0.07,0.33,0.32,0.05,0.05
480.88,22.62,0.06,0.32,0.33,0.05,0.05
498.10,23.75,0.07,0.40,0.40,0.05,0.07
516.29,24.98,0.07,0.39,0.39,0.05,0.08
533.09,26.17,0.07,0.39,0.42,0.04,0.09
549.73,27.41,0.07,0.37,0.37,0.04,0.10
566.25,28.60,0.07,0.39,0.39,0.02,0.08
582.62,29.74,0.07,0.39,0.39,0.03,0.11
598.30,30.75,0.06,0.34,0.34,0.02,0.10
614.40,31.73,0.06,0.39,0.39,0.02,0.10
630.51,32.64,0.05,0.36,0.37,0.03,0.11
645.64,33.47,0.05,0.34,0.34,0.04,0.12
661.19,34.32,0.05,0.36,0.36,0.04,0.12
676.32,35.08,0.05,0.34,0.36,0.03,0.11
691.17,35.80,0.05,0.34,0.32,0.03,0.11
706.45,36.47,0.04,0.36,0.36,0.02,0.09
721.59,37.09,0.04,0.34,0.36,0.04,0.09
736.45,37.71,0.04,0.34,0.34,0.05,0.09
751.58,38.38,0.04,0.34,0.36,0.04,0.08
767.14,39.04,0.05,0.32,0.34,0.04,0.09
782.00,39.70,0.05,0.32,0.34,0.01,0.06
797.13,40.36,0.05,0.34,0.36,0.05,0.11
815.35,41.18,0.05,0.34,0.34,0.01,0.06
834.27,42.05,0.05,0.31,0.30,0.04,0.11
849.54,42.81,0.05,0.34,0.34,0.05,0.13
867.34,43.73,0.05,0.29,0.29,0.07,0.11
885.41,44.60,0.05,0.29,0.27,0.05,0.13
902.09,45.38,0.05,0.33,0.33,0.05,0.12
917.50,46.09,0.05,0.30,0.30,0.05,0.12
933.20,46.82,0.05,0.28,0.30,0.07,0.16
949.17,47.60,0.05,0.28,0.28,0.03,0.13
964.45,48.31,0.05,0.33,0.33,0.04,0.12
980.01,49.02,0.04,0.28,0.28,0.03,0.12
995.84,49.69,0.04,0.28,0.28,0.03,0.10
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
