x, y, theta, left_speed, right_speed, left_bump, right_bump
15.29,0.40,0.03,0.16,0.14,0.31,0.20
30.71,0.79,0.02,0.14,0.15,0.25,0.11
45.44,1.10,0.02,0.19,0.19,0.24,0.11
63.11,1.39,0.01,0.23,0.21,0.25,0.10
78.68,1.56,0.01,0.25,0.25,0.25,0.10
96.36,1.76,0.02,0.29,0.31,0.23,0.13
112.77,2.01,0.01,0.33,0.33,0.22,0.12
131.15,2.28,0.02,0.28,0.27,0.27,0.14
145.88,2.49,0.01,0.28,0.26,0.26,0.10
160.89,2.65,0.01,0.26,0.26,0.24,0.08
178.70,2.81,0.01,0.26,0.27,0.25,0.10
193.85,2.92,0.01,0.43,0.43,0.26,0.08
209.14,3.02,0.01,0.43,0.45,0.26,0.07
224.44,3.19,0.01,0.43,0.45,0.23,0.05
240.57,3.38,0.01,0.35,0.34,0.26,0.07
255.86,3.57,0.01,0.28,0.28,0.20,0.03
273.25,3.79,0.01,0.40,0.40,0.23,0.07
291.35,4.02,0.02,0.36,0.34,0.21,0.06
309.30,4.31,0.02,0.36,0.36,0.20,0.10
324.03,4.55,0.01,0.36,0.36,0.19,0.09
338.76,4.73,0.01,0.23,0.23,0.17,0.09
354.05,4.90,0.01,0.36,0.36,0.17,0.10
372.71,5.12,0.01,0.31,0.29,0.16,0.10
387.44,5.30,0.01,0.31,0.31,0.13,0.09
405.39,5.53,0.01,0.39,0.37,0.13,0.10
420.68,5.74,0.02,0.37,0.39,0.15,0.12
435.41,5.95,0.01,0.29,0.32,0.11,0.11
451.12,6.11,0.01,0.40,0.39,0.15,0.12
466.69,6.19,0.00,0.39,0.39,0.12,0.10
481.85,6.24,0.00,0.43,0.43,0.12,0.12
497.14,6.25,-0.00,0.39,0.37,0.11,0.13
512.57,6.25,-0.00,0.39,0.39,0.12,0.12
527.58,6.25,-0.00,0.43,0.40,0.14,0.11
542.73,6.20,-0.00,0.37,0.37,0.12,0.10
557.74,6.18,-0.00,0.43,0.43,0.11,0.10
572.47,6.11,-0.00,0.42,0.40,0.11,0.11
588.75,6.04,-0.00,0.29,0.29,0.11,0.13
603.62,5.99,-0.00,0.31,0.31,0.11,0.12
621.85,5.92,-0.00,0.28,0.28,0.10,0.12
636.72,5.89,-0.00,0.41,0.41,0.10,0.11
652.30,5.84,-0.01,0.40,0.39,0.13,0.14
667.87,5.75,-0.00,0.52,0.52,0.16,0.13
682.60,5.68,-0.01,0.39,0.39,0.10,0.10
700.41,5.53,-0.01,0.34,0.34,0.16,0.15
717.53,5.43,-0.00,0.34,0.34,0.15,0.13
736.05,5.37,-0.00,0.27,0.27,0.13,0.14
754.00,5.31,-0.00,0.38,0.39,0.14,0.12
770.28,5.26,-0.00,0.31,0.31,0.13,0.13
785.01,5.18,-0.01,0.28,0.26,0.15,0.15
802.68,5.07,-0.01,0.40,0.40,0.12,0.13
820.64,4.95,-0.01,0.27,0.27,0.16,0.16
838.60,4.85,-0.01,0.62,0.63,0.17,0.14
856.41,4.73,-0.01,0.24,0.24,0.09,0.06
873.39,4.60,-0.01,0.40,0.42,0.14,0.12
890.92,4.51,-0.00,0.36,0.36,0.15,0.12
908.60,4.47,-0.00,0.60,0.60,0.10,0.13
923.75,4.41,-0.00,0.35,0.34,0.11,0.11
938.90,4.31,-0.01,0.67,0.65,0.13,0.11
957.42,4.07,-0.01,0.24,0.25,0.10,0.07
973.69,3.91,-0.01,0.38,0.35,0.18,0.14
991.37,3.74,-0.00,0.36,0.39,0.15,0.12
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
