x, y, theta, left_speed, right_speed, left_bump, right_bump
14.73,-0.02,-0.01,0.13,0.14,0.44,0.26
31.00,-0.10,-0.00,0.20,0.20,0.24,0.10
48.40,-0.07,0.00,0.20,0.22,0.26,0.15
64.67,0.02,0.01,0.28,0.28,0.25,0.16
83.05,0.22,0.01,0.27,0.25,0.17,0.12
99.18,0.26,0.00,0.32,0.33,0.17,0.14
115.74,0.29,-0.00,0.31,0.31,0.18,0.19
133.83,0.24,-0.01,0.36,0.36,0.13,0.15
148.98,0.12,-0.01,0.36,0.36,0.12,0.11
167.36,-0.08,-0.02,0.51,0.50,0.08,0.13
183.07,-0.34,-0.02,0.24,0.24,0.14,0.14
199.62,-0.61,-0.02,0.39,0.40,0.11,0.14
216.74,-0.87,-0.02,0.29,0.28,0.12,0.13
234.55,-1.11,-0.01,0.42,0.42,0.12,0.11
252.37,-1.32,-0.01,0.30,0.30,0.10,0.09
269.90,-1.47,-0.01,0.29,0.29,0.17,0.14
284.91,-1.55,-0.00,0.39,0.40,0.08,0.06
300.63,-1.59,0.00,0.28,0.29,0.12,0.09
315.78,-1.51,0.01,0.28,0.29,0.13,0.14
334.15,-1.31,0.01,0.29,0.28,0.10,0.11
350.71,-1.12,0.01,0.37,0.38,0.08,0.14
367.96,-0.92,0.01,0.32,0.33,0.08,0.17
385.92,-0.82,-0.00,0.36,0.34,0.08,0.14
401.63,-0.87,-0.00,0.36,0.34,0.09,0.14
416.50,-0.95,-0.01,0.36,0.36,0.10,0.14
431.79,-1.10,-0.01,0.36,0.34,0.12,0.12
449.47,-1.32,-0.01,0.63,0.63,0.13,0.11
464.33,-1.53,-0.01,0.34,0.36,0.15,0.14
479.06,-1.74,-0.02,0.63,0.63,0.15,0.13
493.79,-1.96,-0.01,0.30,0.31,0.08,0.05
508.66,-2.11,-0.01,0.50,0.54,0.13,0.11
523.81,-2.14,0.00,0.25,0.27,0.08,0.09
540.51,-2.10,0.00,0.29,0.28,0.07,0.13
557.62,-2.06,-0.00,0.28,0.26,0.07,0.14
573.33,-2.12,-0.00,0.28,0.28,0.10,0.13
588.21,-2.16,-0.00,0.24,0.24,0.10,0.13
605.60,-2.22,-0.00,0.28,0.28,0.12,0.13
620.61,-2.26,0.00,0.26,0.26,0.15,0.14
635.48,-2.30,0.00,0.21,0.21,0.18,0.16
651.76,-2.28,0.01,0.26,0.27,0.14,0.14
668.03,-2.16,0.01,0.20,0.20,0.15,0.15
683.04,-2.07,0.00,0.22,0.22,0.19,0.19
698.89,-2.00,0.01,0.24,0.24,0.16,0.16
714.46,-1.88,0.01,0.17,0.19,0.19,0.18
729.89,-1.74,0.01,0.22,0.22,0.17,0.17
745.75,-1.58,0.01,0.29,0.27,0.19,0.21
762.02,-1.35,0.02,0.24,0.24,0.16,0.20
777.73,-1.04,0.02,0.24,0.24,0.14,0.19
792.46,-0.81,0.01,0.16,0.15,0.17,0.19
807.19,-0.66,0.01,0.16,0.18,0.17,0.19
822.20,-0.52,0.01,0.20,0.20,0.13,0.17
838.75,-0.36,0.01,0.22,0.22,0.21,0.21
854.46,-0.20,0.01,0.18,0.18,0.19,0.17
869.47,-0.02,0.01,0.16,0.16,0.17,0.14
885.60,0.20,0.02,0.19,0.19,0.17,0.16
901.59,0.50,0.02,0.16,0.16,0.15,0.15
918.42,0.90,0.02,0.17,0.17,0.15,0.15
933.43,1.26,0.03,0.22,0.22,0.15,0.14
948.86,1.67,0.03,0.20,0.22,0.14,0.17
964.84,2.12,0.03,0.25,0.26,0.16,0.17
980.27,2.59,0.03,0.15,0.15,0.16,0.21
995.13,3.05,0.03,0.20,0.20,0.16,0.13
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
