x, y, theta, left_speed, right_speed, left_bump, right_bump
16.83,-0.02,0.00,0.23,0.22,0.27,0.08
34.09,-0.04,-0.00,0.26,0.24,0.15,0.02
50.50,-0.04,0.00,0.25,0.27,0.15,0.03
68.04,0.00,0.01,0.34,0.36,0.11,0.00
83.05,0.14,0.01,0.24,0.24,0.12,0.01
98.48,0.26,0.01,0.39,0.39,0.07,0.00
113.49,0.49,0.02,0.25,0.26,0.08,0.04
128.22,0.80,0.02,0.34,0.34,0.06,0.03
144.07,1.10,0.02,0.56,0.55,0.10,0.07
159.36,1.40,0.03,0.21,0.23,0.14,0.09
174.08,1.75,0.02,0.33,0.33,0.15,0.09
191.61,2.16,0.03,0.26,0.27,0.11,0.04
209.00,2.70,0.03,0.25,0.27,0.11,0.02
228.49,3.33,0.03,0.30,0.30,0.11,0.02
244.20,3.79,0.03,0.28,0.28,0.07,0.01
260.18,4.25,0.03,0.28,0.28,0.08,0.01
276.03,4.75,0.03,0.30,0.32,0.07,0.05
292.71,5.34,0.04,0.53,0.54,0.09,0.02
309.25,5.95,0.04,0.28,0.30,0.07,0.02
324.68,6.49,0.04,0.31,0.29,0.08,0.02
341.22,7.01,0.03,0.30,0.28,0.09,0.02
357.77,7.49,0.03,0.27,0.26,0.06,0.01
374.32,7.96,0.03,0.39,0.39,0.06,0.02
390.30,8.40,0.03,0.39,0.37,0.07,0.03
407.41,8.91,0.03,0.37,0.34,0.08,0.03
422.70,9.34,0.03,0.39,0.36,0.07,0.03
438.26,9.75,0.02,0.28,0.26,0.08,0.04
454.11,10.13,0.03,0.39,0.37,0.09,0.06
471.50,10.58,0.03,0.51,0.51,0.06,0.03
487.77,11.03,0.03,0.48,0.48,0.06,0.03
504.59,11.57,0.03,0.48,0.49,0.08,0.05
520.30,12.08,0.03,0.44,0.43,0.04,0.01
536.14,12.56,0.03,0.48,0.48,0.04,0.04
553.67,13.03,0.03,0.36,0.36,0.05,0.03
568.96,13.42,0.03,0.32,0.32,0.04,0.03
584.81,13.85,0.03,0.34,0.32,0.05,0.04
600.23,14.25,0.03,0.29,0.29,0.05,0.05
618.46,14.72,0.03,0.37,0.37,0.06,0.05
633.89,15.08,0.02,0.43,0.41,0.07,0.07
651.85,15.43,0.02,0.32,0.32,0.05,0.05
669.80,15.77,0.02,0.36,0.34,0.09,0.09
687.61,16.15,0.02,0.29,0.29,0.05,0.04
705.42,16.57,0.03,0.38,0.43,0.06,0.06
720.57,16.95,0.03,0.41,0.41,0.05,0.05
737.12,17.39,0.03,0.34,0.35,0.05,0.05
752.97,17.77,0.02,0.30,0.29,0.05,0.03
769.10,18.15,0.03,0.32,0.32,0.07,0.05
784.66,18.52,0.02,0.31,0.33,0.03,0.02
800.37,18.88,0.02,0.29,0.29,0.05,0.05
815.38,19.24,0.03,0.29,0.29,0.04,0.05
830.24,19.63,0.03,0.27,0.28,0.07,0.08
845.11,19.99,0.03,0.29,0.27,0.05,0.04
859.98,20.35,0.03,0.29,0.28,0.09,0.07
877.65,20.78,0.03,0.29,0.29,0.10,0.07
894.62,21.18,0.02,0.31,0.33,0.13,0.10
911.87,21.59,0.03,0.33,0.33,0.15,0.10
928.98,22.01,0.03,0.25,0.25,0.18,0.09
945.53,22.43,0.03,0.25,0.25,0.18,0.09
962.78,22.90,0.02,0.33,0.31,0.19,0.09
979.32,23.31,0.03,0.31,0.34,0.15,0.05
997.27,23.84,0.03,0.29,0.29,0.14,0.02
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
