x, y, theta, left_speed, right_speed, left_bump, right_bump
15.43,0.25,0.03,0.14,0.14,0.09,0.11
30.44,0.61,0.02,0.18,0.20,0.07,0.08
45.44,0.98,0.03,0.24,0.26,0.07,0.07
60.17,1.36,0.03,0.18,0.17,0.06,0.05
75.17,1.75,0.03,0.31,0.31,0.07,0.06
90.60,2.13,0.03,0.25,0.26,0.08,0.06
107.85,2.56,0.02,0.33,0.32,0.07,0.05
125.38,2.95,0.03,0.18,0.19,0.05,0.04
140.39,3.32,0.02,0.24,0.24,0.05,0.03
157.78,3.73,0.02,0.30,0.26,0.04,0.04
172.65,4.11,0.03,0.28,0.30,0.05,0.06
188.91,4.60,0.03,0.27,0.27,0.05,0.07
205.74,5.04,0.02,0.40,0.38,0.03,0.08
222.43,5.40,0.02,0.23,0.23,0.02,0.05
240.39,5.70,0.01,0.33,0.31,0.03,0.08
258.90,5.88,0.01,0.31,0.31,0.02,0.08
276.72,5.86,-0.01,0.43,0.40,0.02,0.07
292.01,5.61,-0.03,0.40,0.37,0.02,0.07
307.01,5.19,-0.04,0.51,0.48,0.02,0.06
324.95,4.44,-0.05,0.26,0.25,0.01,0.05
339.94,3.65,-0.06,0.36,0.36,0.03,0.06
358.01,2.53,-0.07,0.36,0.36,0.03,0.06
373.12,1.45,-0.07,0.36,0.34,0.03,0.08
388.22,0.25,-0.09,0.39,0.36,0.03,0.04
403.31,-1.12,-0.10,0.39,0.36,0.03,0.06
418.52,-2.68,-0.11,0.36,0.34,0.04,0.05
433.30,-4.33,-0.12,0.36,0.36,0.04,0.05
448.07,-6.10,-0.12,0.63,0.59,0.05,0.05
466.44,-8.40,-0.13,0.29,0.29,0.03,0.03
485.35,-10.92,-0.14,0.32,0.29,0.03,0.05
502.85,-13.46,-0.15,0.40,0.38,0.03,0.03
519.21,-15.94,-0.15,0.30,0.28,0.06,0.06
536.67,-18.73,-0.16,0.28,0.28,0.05,0.04
551.48,-21.15,-0.16,0.26,0.26,0.05,0.04
566.70,-23.70,-0.17,0.46,0.45,0.06,0.05
581.49,-26.27,-0.17,0.43,0.43,0.04,0.03
596.83,-28.98,-0.18,0.28,0.28,0.06,0.06
611.74,-31.66,-0.18,0.45,0.45,0.05,0.04
626.91,-34.47,-0.18,0.30,0.31,0.05,0.04
644.57,-37.75,-0.18,0.39,0.37,0.05,0.04
661.94,-41.03,-0.18,0.31,0.32,0.05,0.04
676.69,-43.80,-0.19,0.37,0.37,0.05,0.04
691.44,-46.59,-0.19,0.34,0.34,0.05,0.04
708.95,-49.90,-0.19,0.34,0.36,0.03,0.05
723.70,-52.67,-0.18,0.34,0.36,0.06,0.06
742.18,-56.13,-0.18,0.27,0.28,0.07,0.06
759.28,-59.32,-0.18,0.37,0.37,0.07,0.07
776.94,-62.58,-0.18,0.34,0.34,0.06,0.05
793.76,-65.71,-0.18,0.34,0.34,0.06,0.06
812.24,-69.16,-0.18,0.31,0.31,0.06,0.06
827.00,-71.90,-0.18,0.34,0.34,0.05,0.04
844.94,-75.18,-0.18,0.33,0.31,0.05,0.06
862.89,-78.43,-0.18,0.27,0.28,0.05,0.04
880.69,-81.65,-0.18,0.24,0.24,0.05,0.04
895.61,-84.31,-0.18,0.34,0.34,0.06,0.07
910.53,-86.96,-0.17,0.25,0.27,0.08,0.09
925.46,-89.55,-0.17,0.36,0.39,0.05,0.05
940.52,-92.15,-0.17,0.34,0.36,0.05,0.05
955.74,-94.73,-0.17,0.36,0.36,0.05,0.05
972.20,-97.52,-0.17,0.48,0.48,0.03,0.06
987.41,-100.12,-0.17,0.27,0.28,0.05,0.07
1002.62,-102.74,-0.17,0.25,0.25,0.04,0.05
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
