x, y, theta, left_speed, right_speed, left_bump, right_bump
15.71,0.33,0.03,0.11,0.11,0.18,0.15
31.70,0.75,0.03,0.14,0.14,0.09,0.07
48.10,1.16,0.03,0.15,0.15,0.11,0.10
63.25,1.59,0.03,0.22,0.22,0.12,0.10
77.97,2.06,0.03,0.18,0.18,0.10,0.08
93.95,2.64,0.04,0.25,0.25,0.10,0.10
110.50,3.29,0.04,0.24,0.22,0.09,0.10
128.02,4.02,0.04,0.28,0.27,0.08,0.10
145.68,4.76,0.04,0.24,0.24,0.06,0.07
160.82,5.35,0.04,0.32,0.30,0.09,0.09
175.82,5.86,0.04,0.26,0.26,0.07,0.08
191.23,6.59,0.06,0.29,0.31,0.06,0.07
208.60,7.67,0.06,0.44,0.44,0.03,0.10
224.28,8.68,0.06,0.37,0.35,0.05,0.14
240.94,9.67,0.05,0.35,0.31,0.05,0.11
257.61,10.51,0.05,0.34,0.31,0.03,0.09
276.12,11.24,0.03,0.31,0.29,0.03,0.09
293.79,11.70,0.02,0.30,0.29,0.07,0.11
308.52,11.93,0.01,0.43,0.40,0.05,0.13
323.25,12.05,0.00,0.43,0.38,0.09,0.10
340.78,11.99,-0.01,0.34,0.31,0.07,0.08
355.51,11.79,-0.02,0.34,0.34,0.09,0.09
370.38,11.44,-0.03,0.34,0.34,0.08,0.11
388.05,10.93,-0.03,0.20,0.20,0.08,0.09
403.19,10.38,-0.05,0.65,0.61,0.08,0.09
421.97,9.54,-0.05,0.30,0.31,0.07,0.07
439.90,8.54,-0.06,0.39,0.37,0.09,0.05
456.13,7.44,-0.07,0.32,0.31,0.08,0.07
473.90,6.14,-0.07,0.38,0.38,0.09,0.07
491.94,4.74,-0.08,0.26,0.26,0.11,0.14
509.56,3.26,-0.08,0.36,0.34,0.13,0.10
528.01,1.68,-0.09,0.29,0.28,0.11,0.09
546.04,0.08,-0.09,0.28,0.27,0.16,0.14
562.24,-1.37,-0.09,0.30,0.30,0.11,0.10
577.47,-2.76,-0.09,0.28,0.28,0.11,0.08
592.56,-4.11,-0.09,0.32,0.30,0.10,0.06
607.51,-5.48,-0.09,0.30,0.29,0.13,0.09
623.71,-7.00,-0.09,0.33,0.34,0.17,0.09
638.80,-8.42,-0.09,0.34,0.36,0.13,0.07
653.60,-9.81,-0.09,0.36,0.36,0.13,0.09
668.41,-11.15,-0.09,0.36,0.36,0.17,0.07
683.37,-12.46,-0.08,0.24,0.24,0.15,0.07
698.47,-13.68,-0.08,0.34,0.36,0.13,0.09
717.36,-15.07,-0.07,0.31,0.32,0.13,0.07
732.76,-16.08,-0.06,0.29,0.29,0.13,0.09
750.40,-17.13,-0.05,0.29,0.29,0.13,0.06
767.78,-18.01,-0.04,0.31,0.34,0.11,0.08
784.74,-18.67,-0.03,0.31,0.34,0.15,0.10
802.41,-19.10,-0.02,0.27,0.29,0.13,0.11
819.38,-19.35,-0.01,0.38,0.40,0.09,0.09
836.92,-19.40,-0.00,0.33,0.34,0.10,0.11
854.73,-19.36,0.00,0.34,0.36,0.11,0.11
873.11,-19.23,0.01,0.47,0.47,0.06,0.07
890.51,-19.00,0.01,0.37,0.37,0.04,0.09
907.90,-18.77,0.01,0.25,0.23,0.05,0.13
925.01,-18.51,0.01,0.34,0.33,0.03,0.08
942.69,-18.33,0.01,0.29,0.29,0.06,0.12
959.52,-18.27,-0.00,0.36,0.34,0.06,0.12
976.78,-18.32,-0.01,0.34,0.33,0.05,0.10
993.89,-18.53,-0.02,0.56,0.56,0.08,0.10
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
