x, y, theta, left_speed, right_speed, left_bump, right_bump
16.26,0.47,0.05,0.11,0.12,0.22,0.17
32.23,1.30,0.05,0.20,0.22,0.19,0.13
47.64,2.16,0.06,0.29,0.32,0.18,0.10
63.31,3.31,0.08,0.23,0.25,0.19,0.12
78.40,4.66,0.09,0.23,0.21,0.19,0.11
94.05,6.04,0.09,0.25,0.25,0.20,0.11
110.53,7.59,0.10,0.25,0.28,0.21,0.10
125.18,9.21,0.12,0.25,0.28,0.18,0.10
142.15,11.43,0.15,0.20,0.23,0.17,0.09
158.51,13.93,0.16,0.25,0.28,0.15,0.10
176.49,16.96,0.18,0.21,0.23,0.11,0.10
193.84,20.35,0.20,0.30,0.31,0.12,0.13
209.21,23.64,0.23,0.28,0.34,0.08,0.11
225.02,27.46,0.25,0.24,0.28,0.06,0.14
240.73,31.70,0.27,0.35,0.38,0.04,0.15
256.93,36.29,0.27,0.31,0.33,0.03,0.12
272.86,40.80,0.27,0.31,0.31,0.04,0.13
290.30,45.63,0.26,0.27,0.24,0.04,0.12
306.30,49.88,0.25,0.36,0.35,0.07,0.14
323.31,54.15,0.24,0.25,0.23,0.06,0.12
340.51,58.21,0.22,0.34,0.33,0.08,0.14
357.89,62.12,0.22,0.27,0.25,0.10,0.14
374.89,65.81,0.21,0.40,0.38,0.11,0.14
392.75,69.50,0.20,0.45,0.42,0.12,0.14
409.96,72.90,0.19,0.26,0.25,0.14,0.16
426.78,76.05,0.18,0.35,0.33,0.13,0.16
445.30,79.29,0.16,0.26,0.26,0.11,0.14
463.02,82.16,0.16,0.43,0.42,0.10,0.13
480.21,84.82,0.15,0.25,0.24,0.14,0.14
497.01,87.30,0.14,0.31,0.33,0.11,0.12
514.09,89.73,0.14,0.27,0.25,0.19,0.21
531.05,92.02,0.13,0.43,0.40,0.14,0.14
547.33,94.15,0.13,0.31,0.31,0.12,0.13
564.72,96.39,0.13,0.33,0.31,0.15,0.15
581.00,98.45,0.12,0.31,0.31,0.12,0.15
597.43,100.49,0.12,0.27,0.27,0.11,0.15
614.01,102.46,0.11,0.35,0.32,0.12,0.17
630.32,104.25,0.10,0.29,0.29,0.12,0.17
647.21,105.94,0.09,0.22,0.21,0.13,0.19
664.68,107.51,0.08,0.27,0.29,0.10,0.12
680.90,108.85,0.08,0.37,0.34,0.12,0.15
697.83,110.10,0.07,0.34,0.33,0.12,0.17
714.49,111.17,0.06,0.54,0.54,0.13,0.16
732.70,112.13,0.05,0.28,0.27,0.13,0.17
750.64,112.86,0.04,0.29,0.27,0.13,0.16
767.61,113.47,0.03,0.40,0.38,0.14,0.17
784.71,113.91,0.02,0.31,0.31,0.13,0.17
801.41,114.24,0.01,0.34,0.33,0.15,0.17
819.50,114.39,0.00,0.25,0.24,0.10,0.15
836.34,114.35,-0.01,0.29,0.29,0.14,0.17
853.87,114.08,-0.03,0.25,0.24,0.12,0.15
871.68,113.60,-0.03,0.34,0.34,0.13,0.18
889.91,113.00,-0.04,0.28,0.25,0.13,0.15
907.57,112.16,-0.05,0.40,0.40,0.16,0.16
925.07,111.15,-0.06,0.34,0.34,0.19,0.22
942.99,109.93,-0.07,0.36,0.34,0.17,0.17
961.17,108.58,-0.08,0.29,0.29,0.17,0.19
978.65,107.13,-0.09,0.40,0.38,0.18,0.17
996.40,105.54,-0.09,0.34,0.34,0.19,0.19
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
