x, y, theta, left_speed, right_speed, left_bump, right_bump
14.97,1.02,0.11,0.08,0.09,0.12,0.04
31.27,2.91,0.13,0.20,0.22,0.11,0.05
48.79,5.23,0.14,0.24,0.22,0.09,0.05
63.80,7.36,0.15,0.22,0.27,0.10,0.06
78.91,9.68,0.16,0.20,0.20,0.09,0.06
94.69,12.28,0.17,0.20,0.25,0.09,0.08
111.12,15.26,0.19,0.20,0.21,0.10,0.07
126.41,18.20,0.20,0.20,0.23,0.10,0.07
141.10,21.26,0.22,0.21,0.23,0.11,0.06
158.05,25.21,0.24,0.24,0.28,0.11,0.04
175.23,29.36,0.25,0.26,0.29,0.07,0.02
190.57,33.33,0.27,0.29,0.34,0.07,0.03
207.97,38.30,0.29,0.44,0.48,0.05,0.04
223.93,43.22,0.31,0.27,0.31,0.05,0.05
240.88,48.71,0.32,0.32,0.36,0.04,0.06
258.01,54.53,0.33,0.34,0.36,0.01,0.05
276.56,60.98,0.33,0.34,0.33,0.01,0.07
294.33,67.13,0.33,0.44,0.40,0.01,0.10
311.98,73.19,0.33,0.34,0.34,0.01,0.07
327.77,78.58,0.33,0.48,0.48,0.01,0.10
344.93,84.33,0.32,0.36,0.34,-0.00,0.05
362.83,90.10,0.30,0.34,0.31,-0.00,0.08
380.93,95.67,0.29,0.28,0.27,0.02,0.09
398.41,100.87,0.28,0.41,0.40,0.01,0.07
416.07,105.94,0.28,0.42,0.41,0.02,0.08
434.17,111.04,0.27,0.39,0.34,0.02,0.08
452.71,116.10,0.26,0.29,0.29,0.03,0.04
470.47,120.81,0.25,0.39,0.38,0.05,0.03
485.15,124.57,0.25,0.28,0.26,0.04,0.04
500.94,128.52,0.25,0.31,0.31,0.04,0.03
518.50,132.88,0.24,0.41,0.41,0.04,0.04
533.48,136.58,0.24,0.45,0.45,0.05,0.07
548.47,140.26,0.24,0.46,0.45,0.05,0.07
566.48,144.56,0.23,0.36,0.34,0.03,0.05
581.24,147.98,0.23,0.27,0.26,0.04,0.04
596.00,151.38,0.22,0.36,0.36,0.04,0.07
610.92,154.76,0.22,0.37,0.36,0.03,0.06
625.84,158.10,0.22,0.37,0.36,0.03,0.08
641.34,161.44,0.21,0.37,0.36,0.03,0.08
656.73,164.58,0.19,0.28,0.27,0.03,0.07
672.57,167.63,0.18,0.40,0.39,0.04,0.09
688.59,170.53,0.17,0.31,0.29,0.03,0.07
706.29,173.51,0.16,0.35,0.33,0.02,0.04
724.87,176.41,0.15,0.28,0.25,0.03,0.05
742.35,179.01,0.15,0.28,0.29,0.08,0.08
760.69,181.62,0.13,0.28,0.26,0.06,0.05
778.35,183.93,0.13,0.35,0.35,0.09,0.08
794.35,186.01,0.13,0.34,0.34,0.07,0.04
809.10,187.88,0.13,0.34,0.36,0.08,0.05
826.64,190.11,0.13,0.61,0.58,0.09,0.06
844.17,192.35,0.13,0.29,0.27,0.05,0.02
861.01,194.51,0.13,0.37,0.38,0.09,0.07
877.83,196.76,0.13,0.33,0.31,0.07,0.06
894.37,199.04,0.14,0.31,0.33,0.11,0.11
910.47,201.41,0.15,0.27,0.27,0.13,0.09
927.11,203.99,0.15,0.25,0.25,0.13,0.10
942.90,206.49,0.16,0.35,0.35,0.11,0.07
959.51,209.25,0.17,0.34,0.34,0.10,0.05
977.08,212.22,0.17,0.34,0.34,0.08,0.05
995.86,215.58,0.18,0.29,0.29,0.06,0.02
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
