x, y, theta, left_speed, right_speed, left_bump, right_bump
16.55,0.22,0.01,0.12,0.13,0.13,0.14
33.25,0.29,-0.00,0.19,0.19,0.11,0.10
50.36,0.19,-0.01,0.48,0.45,0.11,0.10
67.05,-0.00,-0.01,0.24,0.24,0.11,0.07
81.78,-0.12,-0.00,0.25,0.25,0.12,0.07
97.36,-0.15,-0.00,0.19,0.17,0.06,0.04
112.23,-0.17,-0.00,0.23,0.23,0.09,0.07
127.10,-0.13,0.01,0.18,0.17,0.08,0.09
143.79,-0.02,0.00,0.22,0.22,0.06,0.07
159.36,0.02,-0.00,0.25,0.25,0.05,0.07
174.51,0.07,0.01,0.34,0.34,0.05,0.09
190.79,0.12,-0.00,0.28,0.28,0.08,0.14
205.52,0.07,-0.00,0.35,0.35,0.02,0.11
222.35,0.02,-0.00,0.27,0.27,0.03,0.11
238.35,-0.07,-0.02,0.23,0.21,0.01,0.13
255.03,-0.47,-0.04,0.29,0.26,0.01,0.10
271.57,-1.30,-0.06,0.38,0.35,0.02,0.09
288.22,-2.47,-0.07,0.31,0.29,0.03,0.10
305.28,-3.88,-0.09,0.34,0.33,0.05,0.09
322.86,-5.67,-0.11,0.34,0.31,0.06,0.10
339.31,-7.59,-0.13,0.42,0.38,0.05,0.07
356.54,-9.92,-0.15,0.34,0.31,0.04,0.06
373.75,-12.50,-0.15,0.34,0.34,0.07,0.10
392.03,-15.41,-0.16,0.30,0.29,0.04,0.05
410.71,-18.57,-0.17,0.31,0.29,0.06,0.08
428.25,-21.71,-0.18,0.29,0.27,0.07,0.07
445.61,-25.03,-0.20,0.34,0.34,0.07,0.06
463.07,-28.55,-0.21,0.36,0.34,0.08,0.07
481.33,-32.40,-0.21,0.27,0.27,0.10,0.08
498.48,-36.08,-0.21,0.38,0.38,0.09,0.07
516.29,-39.98,-0.22,0.34,0.34,0.08,0.07
533.67,-43.89,-0.22,0.36,0.34,0.08,0.13
551.85,-48.09,-0.23,0.29,0.27,0.10,0.08
569.45,-52.30,-0.24,0.39,0.39,0.09,0.08
587.18,-56.60,-0.24,0.36,0.34,0.08,0.07
605.15,-61.05,-0.24,0.34,0.34,0.10,0.06
623.26,-65.54,-0.25,0.31,0.29,0.10,0.08
640.82,-69.94,-0.25,0.41,0.40,0.09,0.07
658.23,-74.33,-0.25,0.26,0.26,0.10,0.08
675.50,-78.71,-0.25,0.36,0.36,0.11,0.10
694.00,-83.36,-0.25,0.29,0.27,0.06,0.12
711.55,-87.78,-0.25,0.39,0.38,0.10,0.08
729.09,-92.25,-0.25,0.34,0.36,0.12,0.09
747.02,-96.86,-0.25,0.34,0.36,0.11,0.07
765.23,-101.54,-0.25,0.28,0.29,0.11,0.09
783.18,-106.11,-0.25,0.43,0.43,0.11,0.08
800.86,-110.57,-0.25,0.34,0.36,0.09,0.07
818.55,-115.02,-0.25,0.36,0.36,0.11,0.07
834.33,-118.99,-0.25,0.34,0.34,0.10,0.07
851.21,-123.18,-0.24,0.33,0.34,0.11,0.07
870.30,-127.81,-0.23,0.24,0.24,0.09,0.07
889.01,-132.22,-0.23,0.31,0.30,0.09,0.05
903.76,-135.66,-0.23,0.29,0.29,0.09,0.08
920.84,-139.62,-0.23,0.40,0.40,0.09,0.10
938.76,-143.73,-0.23,0.36,0.36,0.09,0.10
956.53,-147.84,-0.23,0.34,0.34,0.07,0.10
974.43,-151.98,-0.23,0.29,0.29,0.09,0.08
989.20,-155.34,-0.22,0.31,0.32,0.13,0.11
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
