x, y, theta, left_speed, right_speed, left_bump, right_bump
15.28,0.61,0.05,0.11,0.14,0.11,0.08
31.52,1.55,0.06,0.20,0.20,0.11,0.08
47.62,2.60,0.07,0.20,0.22,0.09,0.07
62.45,3.74,0.08,0.23,0.25,0.09,0.08
78.80,5.14,0.09,0.19,0.21,0.08,0.08
96.12,6.83,0.10,0.28,0.30,0.07,0.09
113.71,8.60,0.10,0.21,0.21,0.05,0.07
128.36,10.07,0.10,0.33,0.35,0.05,0.05
143.29,11.62,0.11,0.26,0.31,0.05,0.06
158.89,13.50,0.13,0.30,0.33,0.06,0.11
173.78,15.40,0.13,0.29,0.31,0.04,0.09
191.32,17.64,0.12,0.34,0.34,0.04,0.07
205.94,19.38,0.11,0.24,0.22,0.02,0.06
221.00,21.04,0.11,0.37,0.36,0.01,0.05
235.93,22.58,0.10,0.37,0.36,0.02,0.05
251.16,24.03,0.09,0.36,0.36,0.01,0.06
266.53,25.42,0.09,0.63,0.61,0.04,0.08
281.21,26.64,0.08,0.61,0.58,0.01,0.05
299.81,28.03,0.07,0.30,0.29,0.01,0.04
318.01,29.22,0.06,0.39,0.37,0.03,0.05
333.14,30.10,0.05,0.39,0.37,0.02,0.04
351.35,31.04,0.05,0.34,0.32,0.03,0.05
366.20,31.71,0.04,0.34,0.36,0.03,0.07
384.29,32.41,0.03,0.36,0.34,0.04,0.06
399.01,32.85,0.03,0.23,0.21,0.04,0.05
414.02,33.23,0.02,0.36,0.36,0.03,0.04
428.89,33.49,0.01,0.36,0.36,0.02,0.04
445.02,33.64,0.00,0.36,0.36,0.05,0.06
459.75,33.66,0.00,0.36,0.36,0.04,0.06
474.62,33.60,-0.01,0.26,0.24,0.04,0.04
492.15,33.43,-0.02,0.61,0.58,0.03,0.03
510.11,33.09,-0.02,0.27,0.27,0.05,0.05
527.64,32.61,-0.03,0.39,0.38,0.06,0.06
545.30,32.02,-0.04,0.34,0.34,0.06,0.06
562.97,31.30,-0.05,0.31,0.31,0.06,0.06
577.82,30.64,-0.05,0.34,0.31,0.07,0.07
595.06,29.90,-0.05,0.35,0.33,0.09,0.07
613.98,28.97,-0.05,0.26,0.26,0.05,0.04
631.77,28.06,-0.05,0.43,0.43,0.05,0.04
649.85,27.20,-0.05,0.26,0.27,0.05,0.05
667.51,26.41,-0.05,0.34,0.35,0.05,0.07
682.50,25.76,-0.04,0.63,0.62,0.04,0.06
697.50,25.13,-0.05,0.36,0.35,0.04,0.06
712.50,24.45,-0.05,0.35,0.34,0.04,0.06
728.05,23.69,-0.05,0.38,0.36,0.04,0.07
743.60,22.86,-0.05,0.36,0.36,0.03,0.05
759.15,21.98,-0.06,0.67,0.65,0.05,0.10
777.21,20.92,-0.06,0.39,0.37,0.04,0.07
792.76,19.94,-0.06,0.28,0.27,0.04,0.07
808.85,18.84,-0.07,0.39,0.39,0.04,0.08
824.80,17.63,-0.08,0.37,0.36,0.04,0.07
840.04,16.35,-0.09,0.35,0.32,0.04,0.08
857.08,14.75,-0.10,0.48,0.45,0.03,0.08
872.29,13.25,-0.10,0.43,0.41,0.04,0.09
886.94,11.72,-0.11,0.29,0.28,0.04,0.09
902.14,10.00,-0.12,0.29,0.28,0.05,0.09
917.59,8.09,-0.13,0.42,0.38,0.04,0.07
932.61,6.08,-0.14,0.52,0.50,0.04,0.09
950.52,3.48,-0.15,0.36,0.34,0.04,0.07
965.21,1.20,-0.16,0.36,0.34,0.07,0.10
983.07,-1.75,-0.17,0.36,0.36,0.05,0.08
997.72,-4.31,-0.18,0.63,0.61,0.05,0.07
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
