x, y, theta, left_speed, right_speed, left_bump, right_bump
15.71,-0.10,-0.01,0.25,0.25,0.35,0.18
30.72,-0.21,-0.01,0.25,0.25,0.31,0.14
45.73,-0.35,-0.01,0.29,0.31,0.32,0.10
62.85,-0.42,-0.00,0.72,0.74,0.30,0.13
81.65,-0.45,-0.00,0.45,0.46,0.33,0.12
99.32,-0.44,0.01,0.61,0.66,0.28,0.10
116.30,-0.33,0.01,0.40,0.40,0.26,0.08
132.01,-0.17,0.01,0.53,0.55,0.27,0.08
151.65,-0.04,0.00,0.57,0.56,0.21,0.06
168.76,0.01,0.00,0.42,0.42,0.09,0.03
186.02,0.11,0.01,0.41,0.42,0.14,0.02
204.26,0.24,0.01,0.49,0.52,0.30,0.09
224.73,0.63,0.02,0.58,0.60,0.23,0.06
241.43,0.90,0.02,0.34,0.33,0.20,0.07
259.52,1.22,0.02,0.54,0.54,0.21,0.09
277.62,1.53,0.02,0.31,0.30,0.19,0.09
295.85,1.83,0.02,0.44,0.43,0.15,0.07
311.56,2.08,0.02,0.60,0.60,0.15,0.08
326.43,2.32,0.02,0.58,0.58,0.13,0.11
342.28,2.62,0.02,0.53,0.55,0.07,0.06
361.22,2.97,0.02,0.42,0.41,0.10,0.11
380.71,3.24,0.01,0.55,0.55,0.08,0.10
395.86,3.45,0.01,0.52,0.51,0.01,0.02
412.84,3.67,0.01,0.48,0.47,0.03,0.09
432.06,3.75,-0.00,0.57,0.54,0.03,0.10
447.49,3.73,-0.01,0.56,0.51,0.03,0.08
468.67,3.61,-0.00,0.56,0.57,0.03,0.06
483.40,3.58,-0.00,0.53,0.53,0.03,0.09
503.74,3.54,-0.00,0.51,0.50,0.03,0.07
524.23,3.50,-0.00,0.51,0.50,0.03,0.08
540.36,3.41,-0.01,0.45,0.45,0.04,0.06
558.31,3.30,-0.01,0.48,0.49,0.03,0.07
574.03,3.17,-0.01,0.63,0.61,0.03,0.08
590.72,2.93,-0.02,0.46,0.44,0.05,0.05
609.38,2.63,-0.02,0.40,0.41,0.06,0.10
627.47,2.28,-0.02,0.39,0.40,0.04,0.13
645.98,1.98,-0.02,0.63,0.63,0.06,0.12
661.27,1.75,-0.01,0.32,0.32,0.04,0.09
676.00,1.60,-0.01,0.46,0.47,0.05,0.09
693.40,1.39,-0.02,0.17,0.17,0.04,0.12
710.37,1.10,-0.02,0.22,0.24,0.06,0.15
727.20,0.82,-0.01,0.16,0.17,0.05,0.18
743.62,0.65,-0.01,0.48,0.48,0.06,0.19
759.47,0.56,0.01,0.28,0.31,0.05,0.25
776.02,0.78,0.03,0.28,0.30,0.06,0.21
793.41,1.31,0.03,0.21,0.21,0.05,0.19
808.27,1.76,0.03,0.17,0.16,0.04,0.21
823.84,2.13,0.02,0.48,0.48,0.05,0.21
838.57,2.44,0.02,0.15,0.15,0.07,0.28
853.72,2.61,-0.00,0.38,0.35,0.06,0.22
870.41,2.44,-0.03,0.32,0.29,0.06,0.26
886.25,1.79,-0.06,0.27,0.23,0.05,0.26
900.95,0.83,-0.07,0.24,0.21,0.04,0.21
917.45,-0.48,-0.08,0.24,0.24,0.08,0.29
933.96,-1.70,-0.06,0.34,0.36,0.06,0.24
949.50,-2.71,-0.06,0.36,0.36,0.09,0.22
966.44,-3.81,-0.06,0.45,0.46,0.23,0.19
981.71,-4.52,-0.03,0.26,0.31,0.24,0.19
997.84,-4.72,-0.00,0.28,0.32,0.24,0.16
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
