x, y, theta, left_speed, right_speed, left_bump, right_bump
16.83,0.06,0.00,0.17,0.15,0.32,0.20
34.09,0.04,-0.00,0.43,0.40,0.33,0.18
49.66,-0.04,-0.01,0.29,0.27,0.30,0.11
66.78,-0.10,0.00,0.45,0.46,0.37,0.15
83.89,-0.12,0.00,0.46,0.46,0.35,0.11
102.69,-0.12,0.00,0.41,0.42,0.27,0.08
122.89,-0.05,0.01,0.39,0.40,0.29,0.08
143.79,0.11,0.01,0.54,0.56,0.28,0.07
159.09,0.25,0.01,0.89,0.88,0.30,0.09
177.04,0.50,0.01,0.54,0.54,0.28,0.09
194.58,0.71,0.00,0.31,0.31,0.23,0.10
213.09,0.73,0.00,0.47,0.46,0.22,0.05
228.38,0.83,0.01,0.52,0.53,0.25,0.09
247.60,0.94,0.00,0.55,0.54,0.17,0.05
269.07,0.96,0.00,0.61,0.60,0.23,0.09
285.48,0.98,0.00,0.60,0.59,0.15,0.05
304.42,1.05,0.01,0.43,0.43,0.21,0.12
325.32,1.25,0.02,0.53,0.56,0.10,0.06
342.44,1.55,0.02,0.68,0.70,0.06,0.04
359.55,1.87,0.02,0.65,0.67,0.04,0.10
376.80,2.26,0.02,0.29,0.28,0.10,0.15
391.67,2.52,0.01,0.54,0.53,0.03,0.10
408.64,2.71,0.01,0.47,0.46,0.03,0.10
428.56,2.78,-0.01,0.59,0.55,0.03,0.13
444.97,2.55,-0.03,0.58,0.53,0.03,0.07
462.08,2.11,-0.03,0.65,0.62,0.02,0.08
482.42,1.49,-0.03,0.53,0.54,0.02,0.08
497.28,1.06,-0.03,0.55,0.55,0.04,0.09
515.79,0.52,-0.04,0.40,0.40,0.03,0.07
535.28,-0.17,-0.03,0.57,0.56,0.03,0.07
554.77,-0.71,-0.02,0.35,0.39,0.02,0.01
570.34,-0.91,-0.01,0.35,0.36,0.03,0.01
588.72,-0.99,-0.00,0.45,0.47,0.03,0.12
607.52,-0.99,0.00,0.42,0.43,0.03,0.10
626.60,-0.90,0.01,0.34,0.34,0.04,0.08
644.97,-0.69,0.01,0.33,0.35,0.05,0.10
661.53,-0.47,0.01,0.36,0.36,0.04,0.05
677.66,-0.27,0.01,0.35,0.35,0.07,0.15
694.35,-0.17,-0.00,0.36,0.31,0.06,0.10
710.48,-0.23,-0.01,0.37,0.35,0.07,0.15
726.62,-0.36,-0.01,0.34,0.35,0.05,0.19
741.63,-0.49,-0.01,0.19,0.19,0.05,0.19
760.29,-0.63,-0.01,0.48,0.47,0.06,0.15
778.80,-0.78,-0.01,0.54,0.54,0.06,0.23
794.51,-1.05,-0.03,0.39,0.35,0.06,0.15
811.62,-1.52,-0.03,0.16,0.17,0.06,0.18
826.77,-1.85,-0.01,0.23,0.24,0.06,0.21
841.64,-1.98,-0.00,0.40,0.44,0.06,0.24
858.47,-1.88,0.01,0.27,0.29,0.06,0.17
873.90,-1.58,0.03,0.15,0.15,0.06,0.35
890.59,-1.15,0.02,0.22,0.21,0.12,0.31
905.60,-0.91,0.01,0.25,0.23,0.17,0.25
921.31,-0.83,0.01,0.25,0.25,0.17,0.23
937.86,-0.64,0.02,0.34,0.36,0.19,0.23
954.27,-0.26,0.03,0.29,0.32,0.17,0.21
969.28,0.28,0.05,0.26,0.27,0.17,0.17
986.79,1.10,0.05,0.21,0.21,0.22,0.17
1002.07,1.83,0.05,0.32,0.32,0.37,0.17
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
