x, y, theta, left_speed, right_speed, left_bump, right_bump
15.57,0.12,0.00,0.17,0.16,0.14,0.06
32.69,0.13,-0.00,0.32,0.30,0.13,0.04
49.52,0.08,-0.00,0.26,0.26,0.09,0.02
66.78,-0.00,-0.01,0.40,0.38,0.08,-0.00
82.21,-0.14,-0.01,0.30,0.28,0.10,0.02
97.78,-0.36,-0.02,0.41,0.41,0.11,0.03
112.79,-0.59,-0.01,0.27,0.29,0.07,0.01
128.92,-0.83,-0.02,0.32,0.31,0.09,0.01
145.33,-1.08,-0.01,0.34,0.34,0.13,0.07
164.69,-1.28,-0.01,0.37,0.39,0.11,0.04
183.07,-1.38,-0.00,0.33,0.33,0.10,0.03
201.02,-1.44,-0.00,0.35,0.35,0.08,0.01
218.00,-1.45,0.00,0.40,0.40,0.11,0.03
237.78,-1.43,0.00,0.39,0.41,0.12,0.05
257.00,-1.36,0.01,0.35,0.34,0.11,0.03
271.87,-1.26,0.01,0.45,0.45,0.09,0.01
286.74,-1.16,0.01,0.49,0.49,0.08,0.02
301.89,-1.07,0.01,0.37,0.37,0.07,0.01
318.02,-0.95,0.01,0.41,0.41,0.08,0.00
337.10,-0.75,0.01,0.58,0.56,0.09,0.03
351.83,-0.57,0.01,0.35,0.35,0.07,0.01
366.84,-0.37,0.01,0.36,0.36,0.06,-0.00
381.85,-0.20,0.01,0.54,0.54,0.10,0.02
396.72,-0.11,0.01,0.39,0.39,0.07,0.01
415.80,0.03,0.01,0.41,0.39,0.07,0.00
433.76,0.18,0.01,0.38,0.36,0.07,0.01
448.63,0.29,0.01,0.35,0.35,0.07,0.00
466.02,0.37,0.01,0.30,0.30,0.06,0.00
483.00,0.43,-0.00,0.53,0.51,0.07,-0.00
499.13,0.43,0.00,0.45,0.45,0.06,0.01
514.42,0.35,-0.01,0.45,0.44,0.07,-0.00
530.13,0.23,-0.01,0.44,0.44,0.07,-0.00
545.84,0.06,-0.01,0.51,0.49,0.14,0.03
560.85,-0.09,-0.01,0.43,0.43,0.05,-0.01
575.72,-0.25,-0.01,0.26,0.28,0.09,-0.01
592.42,-0.44,-0.01,0.31,0.31,0.06,0.00
607.99,-0.56,-0.00,0.28,0.33,0.10,0.01
623.56,-0.53,0.01,0.22,0.25,0.08,0.01
638.85,-0.24,0.03,0.21,0.23,0.09,0.00
654.13,0.23,0.04,0.29,0.31,0.09,0.00
669.70,0.78,0.03,0.30,0.27,0.07,0.00
686.24,1.17,0.02,0.27,0.25,0.07,0.00
703.36,1.42,0.01,0.27,0.25,0.08,0.01
718.37,1.45,-0.00,0.35,0.34,0.10,0.00
733.10,1.41,-0.01,0.28,0.28,0.05,0.00
751.06,1.33,-0.01,0.24,0.22,0.09,0.00
768.31,1.25,-0.00,0.30,0.26,0.11,0.00
786.27,1.20,-0.00,0.24,0.24,0.10,0.01
803.38,1.14,-0.00,0.26,0.28,0.17,0.00
821.06,1.18,0.01,0.36,0.40,0.15,0.01
837.89,1.38,0.01,0.23,0.22,0.09,-0.00
854.87,1.48,0.00,0.23,0.22,0.07,0.00
870.44,1.37,-0.02,0.22,0.21,0.12,0.02
887.41,1.02,-0.02,0.41,0.40,0.15,0.03
904.24,0.69,-0.02,0.22,0.20,0.15,0.01
919.95,0.39,-0.01,0.22,0.24,0.12,0.01
936.22,0.19,-0.01,0.24,0.24,0.14,-0.01
951.37,0.01,-0.01,0.19,0.19,0.09,0.01
966.80,-0.23,-0.02,0.20,0.20,0.12,0.03
982.79,-0.58,-0.03,0.25,0.26,0.07,0.00
998.92,-1.01,-0.03,0.18,0.16,0.10,0.03
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
