x, y, theta, left_speed, right_speed, left_bump, right_bump
15.14,0.45,0.03,0.10,0.10,0.07,0.05
30.99,0.84,0.02,0.22,0.21,0.08,0.07
46.84,1.13,0.01,0.17,0.16,0.08,0.06
62.27,1.32,0.01,0.25,0.27,0.08,0.06
78.26,1.55,0.02,0.27,0.25,0.06,0.06
92.99,1.80,0.02,0.24,0.24,0.07,0.08
108.98,2.05,0.02,0.23,0.24,0.09,0.07
126.10,2.32,0.02,0.28,0.26,0.09,0.07
141.95,2.60,0.02,0.28,0.28,0.10,0.08
156.95,2.98,0.04,0.27,0.30,0.08,0.05
171.95,3.58,0.05,0.31,0.33,0.09,0.08
189.89,4.39,0.05,0.34,0.36,0.05,0.06
208.67,5.21,0.04,0.32,0.31,0.03,0.04
224.51,5.76,0.03,0.30,0.30,0.05,0.04
240.08,6.20,0.03,0.53,0.52,0.05,0.04
255.51,6.58,0.03,0.32,0.34,0.03,0.01
270.93,6.96,0.03,0.30,0.32,0.05,0.04
286.08,7.35,0.03,0.33,0.32,0.05,0.04
301.23,7.72,0.03,0.31,0.29,0.05,0.04
316.51,8.08,0.02,0.31,0.32,0.03,0.02
331.80,8.45,0.03,0.33,0.32,0.03,0.04
346.67,8.79,0.02,0.31,0.31,0.06,0.06
364.76,9.14,0.02,0.37,0.37,0.05,0.05
379.49,9.48,0.03,0.30,0.31,0.05,0.05
394.35,9.83,0.02,0.42,0.40,0.04,0.03
411.47,10.17,0.02,0.34,0.34,0.03,0.02
428.58,10.52,0.02,0.20,0.19,0.07,0.06
446.67,10.91,0.02,0.29,0.29,0.05,0.06
463.36,11.27,0.02,0.29,0.28,0.04,0.05
480.05,11.62,0.02,0.31,0.31,0.02,0.01
496.18,11.99,0.03,0.31,0.31,0.06,0.04
513.01,12.37,0.02,0.29,0.27,0.06,0.05
530.96,12.73,0.02,0.27,0.27,0.05,0.04
547.66,13.04,0.02,0.36,0.36,0.07,0.04
564.91,13.35,0.02,0.34,0.34,0.05,0.02
582.02,13.71,0.02,0.61,0.58,0.09,0.06
598.29,14.00,0.02,0.27,0.27,0.08,0.05
613.58,14.32,0.02,0.22,0.21,0.05,0.01
630.83,14.65,0.02,0.20,0.20,0.08,0.02
648.92,15.01,0.02,0.21,0.22,0.09,0.05
663.93,15.45,0.04,0.22,0.25,0.08,0.02
679.35,16.10,0.05,0.28,0.29,0.09,0.03
695.88,16.95,0.05,0.33,0.31,0.07,0.02
714.37,17.87,0.05,0.26,0.26,0.06,0.00
729.23,18.52,0.05,0.28,0.28,0.09,0.03
744.37,19.21,0.05,0.30,0.30,0.09,0.04
759.64,19.86,0.04,0.26,0.26,0.06,0.00
774.50,20.47,0.04,0.26,0.28,0.08,0.02
789.22,21.12,0.05,0.33,0.33,0.09,0.04
804.92,21.77,0.04,0.36,0.34,0.09,0.03
820.76,22.34,0.04,0.34,0.36,0.09,0.03
837.59,22.89,0.03,0.31,0.33,0.08,0.02
854.97,23.38,0.03,0.25,0.25,0.13,0.06
872.78,23.88,0.03,0.31,0.29,0.11,0.04
889.75,24.31,0.02,0.42,0.40,0.11,0.03
906.72,24.70,0.03,0.26,0.25,0.11,0.02
923.69,25.09,0.02,0.33,0.33,0.12,0.03
938.56,25.43,0.02,0.35,0.35,0.10,0.01
957.35,25.90,0.03,0.27,0.28,0.10,0.02
975.44,26.45,0.03,0.43,0.43,0.08,0.00
991.15,26.99,0.04,0.48,0.48,0.06,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
