yaw
0.00
-0.27
-0.27
-0.27
-0.27
-0.27
-0.27
-0.29
-0.29
-0.29
-0.31
-0.31
-0.31
-0.34
-0.34
-0.34
-0.34
-0.38
-0.38
-0.38
-0.41
-0.41
-0.41
-0.44
-0.44
-0.44
-0.47
-0.47
-0.47
-0.50
-0.50
-0.50
-0.50
-0.53
-0.53
-0.53
-0.57
-0.57
-0.57
-0.61
-0.61
-0.61
-0.65
-0.65
-0.65
-0.69
-0.69
-0.69
-0.69
-0.73
-0.73
-0.73
-0.76
-0.76
-0.76
-0.80
-0.80
-0.80
-0.87
-0.87
-0.87
-0.93
-0.93
-0.93
-0.93
-0.98
-0.98
-0.98
-1.03
-1.03
-1.03
-1.08
-1.08
-1.08
-1.11
-1.11
-1.11
-1.11
-1.15
-1.15
-1.15
-1.20
-1.20
-1.20
-1.27
-1.27
-1.27
-1.34
-1.34
-1.34
-1.40
-1.40
-1.40
-1.40
-1.44
-1.44
-1.44
-1.47
-1.47
-1.47
-1.51
-1.51
-1.51
-1.54
-1.54
-1.54
-1.54
-1.58
-1.58
-1.58
-1.60
-1.60
-1.60
-1.63
-1.63
-1.63
-1.59
-1.59
-1.59
-1.50
-1.50
-1.50
-1.50
-1.34
-1.34
-1.34
-1.09
-1.09
-1.09
-0.79
-0.79
-0.79
-0.56
-0.56
-0.56
-0.38
-0.38
-0.38
-0.38
-0.20
-0.20
-0.20
0.01
0.01
0.01
0.48
0.48
0.48
1.12
1.12
1.12
1.95
1.95
1.95
1.95
2.88
2.88
2.88
3.85
3.85
3.85
4.63
4.63
4.63
5.33
5.33
5.33
5.95
5.95
5.95
5.95
6.54
6.54
6.54
7.10
7.10
7.10
7.69
7.69
7.69
8.33
8.33
8.33
9.09
9.09
9.09
9.09
9.84
9.84
9.84
10.49
10.49
10.49
11.09
11.09
11.09
11.69
11.69
11.69
12.33
12.33
12.33
12.33
12.96
12.96
12.96
12.96
12.96
12.96
12.01
12.01
12.01
10.83
10.83
10.83
10.83
9.77
9.77
9.77
8.83
8.83
8.83
7.99
7.99
7.99
7.22
7.22
7.22
6.52
6.52
6.52
6.52
5.89
5.89
5.89
5.32
5.32
5.32
4.79
4.79
4.79
4.36
4.36
4.36
4.36
3.98
3.98
3.98
3.64
3.64
