x, y, theta, left_speed, right_speed
12.06,0.24,0.03,0.07,0.08
23.28,0.60,0.03,0.22,0.19
34.64,0.86,0.02,0.20,0.18
47.55,1.02,0.00,0.30,0.28
59.61,1.02,-0.01,0.42,0.38
74.90,0.76,-0.03,0.36,0.34
89.62,0.33,-0.04,0.50,0.48
105.32,-0.26,-0.04,0.56,0.54
117.94,-0.79,-0.04,0.37,0.37
130.41,-1.31,-0.04,0.77,0.77
143.17,-1.80,-0.04,0.20,0.21
155.37,-2.24,-0.03,0.34,0.33
169.11,-2.67,-0.03,0.38,0.41
181.87,-2.98,-0.02,0.37,0.39
196.46,-3.29,-0.02,0.41,0.43
209.50,-3.47,-0.01,0.29,0.31
222.55,-3.54,-0.00,0.46,0.47
236.44,-3.58,-0.00,0.60,0.62
249.35,-3.58,0.01,0.25,0.26
260.99,-3.49,0.01,0.44,0.44
274.60,-3.34,0.01,0.47,0.47
287.36,-3.15,0.02,0.44,0.46
300.97,-2.90,0.02,0.25,0.26
313.73,-2.66,0.02,0.46,0.46
329.44,-2.30,0.02,0.45,0.45
344.31,-1.98,0.02,0.61,0.61
359.88,-1.65,0.02,0.26,0.26
373.34,-1.40,0.02,0.27,0.28
385.40,-1.19,0.02,0.46,0.46
398.17,-0.96,0.02,0.74,0.74
412.90,-0.72,0.01,0.41,0.41
426.64,-0.51,0.01,0.37,0.37
438.85,-0.36,0.01,0.44,0.42
452.31,-0.22,0.01,0.40,0.40
467.89,-0.07,0.01,0.68,0.67
479.81,-0.01,0.00,0.72,0.72
493.00,0.02,0.00,0.30,0.30
507.17,0.07,-0.00,0.58,0.57
518.81,0.08,-0.00,0.42,0.37
532.42,0.03,-0.00,0.46,0.45
544.76,0.02,-0.00,0.20,0.20
556.83,0.02,-0.00,0.30,0.30
569.31,-0.01,-0.00,0.32,0.32
583.90,-0.04,-0.00,0.20,0.19
598.21,-0.08,-0.00,0.31,0.31
612.52,-0.13,-0.00,0.37,0.37
627.39,-0.20,-0.00,0.20,0.19
641.84,-0.29,-0.01,0.18,0.18
655.87,-0.39,-0.01,0.33,0.31
667.52,-0.44,-0.00,0.42,0.42
681.97,-0.45,-0.00,0.30,0.30
694.59,-0.42,0.01,0.23,0.25
706.38,-0.34,0.01,0.30,0.30
718.16,-0.28,0.01,0.16,0.16
730.08,-0.18,0.01,0.22,0.22
744.11,-0.06,0.01,0.26,0.28
757.72,0.10,0.01,0.33,0.33
769.50,0.26,0.01,0.29,0.27
780.86,0.43,0.02,0.24,0.24
792.23,0.61,0.02,0.14,0.15
805.13,0.87,0.02,0.12,0.11
816.77,1.08,0.02,0.36,0.37
829.54,1.31,0.02,0.26,0.26
842.58,1.56,0.02,0.22,0.21
853.80,1.80,0.02,0.20,0.20
866.15,2.01,0.02,0.24,0.24
879.61,2.23,0.02,0.11,0.11
890.83,2.38,0.01,0.20,0.20
902.90,2.52,0.01,0.27,0.29
915.52,2.63,0.01,0.35,0.35
927.59,2.75,0.01,0.21,0.24
939.65,2.86,0.01,0.21,0.21
951.01,3.00,0.01,0.16,0.16
963.08,3.19,0.02,0.27,0.30
974.72,3.38,0.02,0.20,0.20
986.08,3.57,0.02,0.22,0.25
998.28,3.86,0.02,0.16,0.15
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
