x, y, theta, left_speed, right_speed
12.20,0.16,0.02,0.12,0.14
23.71,0.31,0.01,0.20,0.20
36.47,0.45,0.01,0.20,0.20
48.12,0.59,0.01,0.25,0.23
60.32,0.71,0.01,0.16,0.17
74.21,0.96,0.02,0.36,0.41
86.41,1.21,0.02,0.36,0.34
100.86,1.44,0.02,0.29,0.29
113.62,1.64,0.01,0.36,0.34
125.69,1.76,0.01,0.32,0.32
139.85,1.80,-0.00,0.20,0.19
154.44,1.72,-0.01,0.36,0.36
167.77,1.57,-0.01,0.48,0.50
180.68,1.39,-0.01,0.21,0.21
192.18,1.24,-0.01,0.70,0.70
208.17,1.02,-0.01,0.39,0.39
224.30,0.81,-0.01,0.42,0.43
236.51,0.70,-0.01,0.65,0.67
250.11,0.62,-0.00,0.31,0.31
266.25,0.54,0.00,0.42,0.42
283.22,0.56,0.00,0.42,0.42
297.67,0.61,0.00,0.58,0.58
313.24,0.63,0.00,0.44,0.44
325.73,0.67,0.00,0.74,0.74
338.92,0.67,0.00,0.30,0.29
355.05,0.71,0.00,0.42,0.44
369.50,0.77,0.01,0.40,0.42
385.63,0.91,0.01,0.45,0.47
398.54,1.06,0.01,0.32,0.33
410.46,1.20,0.01,0.72,0.72
425.05,1.37,0.01,0.39,0.40
439.22,1.52,0.01,0.26,0.25
453.95,1.63,0.01,0.39,0.39
467.14,1.74,0.01,0.40,0.39
479.76,1.82,0.01,0.48,0.48
492.53,1.91,0.00,0.21,0.21
504.31,1.91,-0.00,0.73,0.68
517.92,1.83,-0.01,0.50,0.50
530.69,1.72,-0.01,0.28,0.28
546.54,1.57,-0.01,0.37,0.36
558.88,1.43,-0.01,0.31,0.32
570.53,1.36,-0.00,0.32,0.32
582.45,1.32,-0.01,0.32,0.33
597.60,1.22,-0.01,0.28,0.28
611.91,1.11,-0.01,0.34,0.34
627.20,0.99,-0.01,0.30,0.29
638.42,0.88,-0.01,0.34,0.34
652.03,0.76,-0.01,0.31,0.31
663.81,0.68,-0.01,0.51,0.52
676.86,0.63,-0.00,0.42,0.43
688.79,0.62,0.01,0.15,0.15
700.71,0.67,0.00,0.21,0.21
712.49,0.71,0.00,0.47,0.48
724.00,0.75,0.00,0.15,0.16
735.50,0.80,0.00,0.46,0.46
746.86,0.85,0.01,0.17,0.18
758.23,0.89,0.00,0.17,0.15
771.70,0.94,0.00,0.17,0.18
784.04,0.98,0.00,0.16,0.18
795.83,1.02,-0.01,0.22,0.21
807.89,0.85,-0.01,0.12,0.13
819.11,0.72,-0.02,0.19,0.14
830.47,0.43,-0.02,0.25,0.30
841.69,0.20,-0.02,0.12,0.12
854.32,-0.03,-0.01,0.16,0.18
866.10,-0.18,-0.01,0.13,0.14
877.60,-0.26,-0.01,0.11,0.13
889.39,-0.27,-0.00,0.23,0.24
901.17,-0.38,-0.02,0.23,0.19
913.94,-0.55,-0.01,0.18,0.18
925.58,-0.72,-0.02,0.08,0.09
937.22,-0.84,-0.01,0.20,0.15
949.70,-1.07,-0.03,0.13,0.09
961.34,-1.51,-0.04,0.07,0.07
973.53,-2.02,-0.04,0.09,0.11
984.89,-2.37,-0.03,0.20,0.19
996.11,-2.77,-0.05,0.15,0.15
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
