x, y, theta, left_speed, right_speed
11.22,0.13,0.01,0.11,0.08
23.85,0.22,0.01,0.12,0.12
36.89,0.26,0.00,0.18,0.18
49.94,0.36,0.01,0.21,0.20
62.01,0.39,0.00,0.24,0.23
74.91,0.43,0.01,0.29,0.29
90.06,0.55,0.01,0.41,0.44
103.95,0.74,0.02,0.48,0.50
117.14,0.94,0.02,0.32,0.32
133.83,1.21,0.02,0.43,0.44
145.89,1.44,0.02,0.71,0.71
160.62,1.73,0.02,0.43,0.43
171.98,1.91,0.02,0.36,0.37
187.97,2.22,0.02,0.35,0.35
203.54,2.49,0.02,0.43,0.43
220.65,2.77,0.02,0.45,0.44
233.00,2.95,0.01,0.80,0.78
249.55,3.11,0.01,0.49,0.48
261.19,3.22,0.01,0.66,0.66
278.03,3.31,0.00,0.74,0.70
293.74,3.28,-0.01,0.34,0.35
310.57,3.15,-0.01,0.45,0.44
324.32,2.97,-0.01,0.48,0.48
337.51,2.80,-0.01,0.71,0.72
351.68,2.59,-0.02,0.27,0.27
366.40,2.36,-0.01,0.35,0.36
381.13,2.17,-0.02,0.55,0.57
396.00,1.97,-0.02,0.25,0.24
408.91,1.73,-0.02,0.45,0.47
420.69,1.54,-0.02,0.45,0.47
434.15,1.31,-0.02,0.45,0.45
448.60,1.07,-0.01,0.43,0.45
462.91,0.89,-0.01,0.53,0.54
477.92,0.73,-0.01,0.34,0.35
490.41,0.63,-0.01,0.49,0.49
503.03,0.55,-0.01,0.43,0.45
517.06,0.48,-0.01,0.57,0.55
530.95,0.41,-0.00,0.58,0.57
544.42,0.37,-0.00,0.35,0.35
555.78,0.36,0.00,0.39,0.39
568.55,0.36,0.00,0.29,0.29
582.43,0.42,0.01,0.34,0.36
598.01,0.52,0.00,0.40,0.38
609.23,0.55,0.00,0.23,0.23
621.01,0.59,0.00,0.36,0.36
632.24,0.63,0.00,0.40,0.40
643.46,0.66,0.00,0.29,0.29
654.82,0.71,0.01,0.31,0.34
666.75,0.80,0.01,0.33,0.35
679.51,0.93,0.01,0.27,0.25
692.14,1.00,0.01,0.27,0.25
703.64,1.07,0.01,0.24,0.24
716.41,1.11,0.00,0.45,0.43
727.91,1.10,-0.00,0.24,0.22
740.54,1.01,-0.01,0.38,0.38
752.60,0.93,-0.00,0.12,0.12
763.97,0.90,-0.01,0.32,0.31
776.73,0.84,-0.00,0.14,0.14
790.06,0.76,-0.01,0.23,0.23
801.70,0.68,-0.01,0.19,0.18
814.33,0.56,-0.01,0.15,0.15
827.37,0.43,-0.01,0.14,0.15
838.60,0.36,-0.01,0.32,0.32
851.92,0.28,-0.01,0.21,0.20
864.55,0.16,-0.01,0.18,0.16
875.77,0.02,-0.02,0.18,0.17
886.99,-0.23,-0.03,0.21,0.21
898.77,-0.62,-0.04,0.09,0.08
910.12,-1.05,-0.04,0.23,0.23
922.60,-1.60,-0.05,0.11,0.11
934.37,-2.12,-0.04,0.20,0.20
946.29,-2.60,-0.04,0.14,0.14
958.20,-3.04,-0.04,0.18,0.18
969.56,-3.46,-0.04,0.08,0.06
981.47,-3.87,-0.04,0.13,0.11
993.25,-4.24,-0.02,0.06,0.06
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
