x, y, theta, left_speed, right_speed
11.22,0.36,0.04,0.16,0.13
23.55,0.79,0.03,0.16,0.16
35.89,1.13,0.03,0.21,0.22
47.40,1.37,0.01,0.23,0.20
60.86,1.40,-0.01,0.28,0.26
74.33,1.35,-0.01,0.24,0.24
85.69,1.25,-0.01,0.31,0.32
99.30,1.09,-0.02,0.36,0.34
110.66,0.81,-0.04,0.42,0.37
121.87,0.36,-0.05,0.42,0.37
135.47,-0.33,-0.05,0.31,0.30
148.63,-1.01,-0.05,0.50,0.51
162.93,-1.73,-0.05,0.61,0.61
175.96,-2.32,-0.04,0.74,0.79
188.01,-2.80,-0.04,0.47,0.49
200.49,-3.23,-0.03,0.46,0.49
214.09,-3.65,-0.03,0.77,0.81
226.01,-3.99,-0.03,0.45,0.47
241.02,-4.38,-0.02,0.43,0.43
255.19,-4.69,-0.02,0.34,0.34
270.05,-4.92,-0.01,0.33,0.35
283.52,-5.00,0.00,0.47,0.47
299.09,-4.98,0.00,0.45,0.48
314.10,-4.92,0.01,0.35,0.37
328.97,-4.79,0.01,0.38,0.38
342.58,-4.60,0.02,0.47,0.49
355.91,-4.39,0.02,0.51,0.52
369.79,-4.09,0.02,0.50,0.50
382.98,-3.77,0.03,0.51,0.53
396.58,-3.37,0.03,0.48,0.48
410.60,-3.00,0.03,0.50,0.50
423.64,-2.66,0.02,0.51,0.50
436.97,-2.36,0.03,0.52,0.51
450.85,-2.03,0.02,0.45,0.47
463.62,-1.72,0.03,0.73,0.73
476.52,-1.39,0.03,0.46,0.46
488.86,-1.07,0.03,0.46,0.47
503.87,-0.70,0.02,0.58,0.59
518.17,-0.42,0.02,0.62,0.59
532.06,-0.22,0.01,0.37,0.37
543.70,-0.09,0.01,0.71,0.68
558.43,0.04,0.01,0.51,0.50
571.34,0.13,0.01,0.32,0.32
583.96,0.18,0.01,0.30,0.30
598.13,0.27,0.00,0.38,0.38
614.41,0.31,0.00,0.21,0.21
630.12,0.36,0.00,0.33,0.33
645.55,0.40,0.00,0.41,0.39
660.70,0.44,0.00,0.20,0.21
674.59,0.49,0.00,0.21,0.21
688.76,0.52,0.00,0.39,0.39
703.07,0.54,0.01,0.31,0.32
714.71,0.63,0.01,0.23,0.22
726.08,0.66,-0.00,0.27,0.26
738.70,0.60,-0.01,0.27,0.25
751.05,0.50,-0.01,0.27,0.27
764.09,0.39,-0.01,0.22,0.24
776.02,0.32,-0.00,0.17,0.20
789.06,0.25,-0.01,0.16,0.16
800.43,0.17,-0.01,0.15,0.15
811.65,0.06,-0.01,0.35,0.34
824.98,-0.07,-0.01,0.32,0.32
837.74,-0.16,-0.00,0.24,0.24
851.63,-0.24,-0.01,0.22,0.22
863.70,-0.33,-0.01,0.20,0.20
874.92,-0.42,-0.01,0.12,0.12
887.40,-0.62,-0.02,0.18,0.18
899.32,-0.91,-0.03,0.17,0.17
910.96,-1.26,-0.04,0.19,0.17
923.16,-1.74,-0.05,0.17,0.15
934.65,-2.26,-0.05,0.19,0.19
945.86,-2.77,-0.05,0.22,0.24
957.35,-3.31,-0.05,0.24,0.24
968.84,-3.87,-0.05,0.12,0.11
980.89,-4.49,-0.05,0.08,0.08
992.10,-5.02,-0.04,0.10,0.12
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
