x, y, theta, left_speed, right_speed
11.22,0.07,0.01,0.12,0.14
23.01,0.23,0.01,0.10,0.10
35.35,0.39,0.01,0.12,0.12
49.80,0.58,0.01,0.30,0.28
62.28,0.70,0.01,0.17,0.17
75.19,0.87,0.01,0.29,0.30
89.36,1.04,0.01,0.22,0.22
103.39,1.15,0.00,0.34,0.34
115.73,1.17,-0.00,0.32,0.30
131.30,1.14,-0.00,0.20,0.19
147.16,1.13,-0.00,0.28,0.27
162.87,1.07,-0.00,0.27,0.27
175.49,1.06,-0.00,0.29,0.29
190.08,1.01,-0.00,0.65,0.66
202.43,0.96,-0.00,0.24,0.24
217.44,0.88,-0.01,0.56,0.55
231.89,0.76,-0.01,0.23,0.24
243.53,0.63,-0.01,0.47,0.46
255.88,0.50,-0.01,0.72,0.74
272.85,0.32,-0.01,0.43,0.45
285.62,0.21,-0.01,0.38,0.39
298.80,0.11,-0.01,0.32,0.34
312.41,-0.02,-0.02,0.34,0.34
324.05,-0.23,-0.02,0.42,0.42
335.41,-0.47,-0.02,0.40,0.39
349.58,-0.80,-0.03,0.33,0.32
362.76,-1.15,-0.03,0.50,0.48
377.21,-1.51,-0.02,0.37,0.37
389.13,-1.78,-0.02,0.44,0.46
403.30,-2.03,-0.02,0.40,0.40
419.57,-2.26,-0.01,0.42,0.44
434.44,-2.40,-0.01,0.33,0.34
450.15,-2.54,-0.00,0.68,0.68
463.20,-2.58,-0.00,0.25,0.26
474.56,-2.58,0.00,0.44,0.47
486.76,-2.51,0.01,0.24,0.24
501.91,-2.37,0.01,0.53,0.56
515.52,-2.16,0.02,0.22,0.23
527.16,-1.96,0.02,0.40,0.40
540.63,-1.70,0.02,0.80,0.82
553.81,-1.45,0.02,0.53,0.53
566.16,-1.21,0.02,0.20,0.19
581.58,-0.89,0.02,0.38,0.39
597.57,-0.54,0.02,0.51,0.51
609.50,-0.31,0.02,0.33,0.32
624.08,-0.03,0.02,0.42,0.44
635.45,0.17,0.01,0.44,0.42
646.67,0.31,0.01,0.48,0.48
659.85,0.48,0.01,0.32,0.32
671.22,0.63,0.02,0.42,0.42
685.10,0.82,0.01,0.46,0.46
696.61,0.95,0.01,0.21,0.21
709.09,1.06,0.00,0.26,0.25
721.30,1.02,-0.01,0.28,0.28
734.76,0.90,-0.01,0.28,0.28
747.11,0.85,-0.00,0.24,0.25
760.58,0.89,0.01,0.35,0.36
772.08,1.00,0.01,0.12,0.13
783.58,1.18,0.02,0.18,0.20
796.35,1.42,0.02,0.19,0.19
808.69,1.62,0.02,0.12,0.11
821.17,1.80,0.01,0.23,0.23
832.54,1.97,0.02,0.16,0.16
844.46,2.20,0.02,0.17,0.17
857.64,2.46,0.02,0.16,0.16
869.99,2.75,0.03,0.14,0.14
882.75,3.12,0.03,0.08,0.08
894.53,3.45,0.02,0.14,0.14
906.87,3.73,0.02,0.11,0.11
918.51,3.97,0.02,0.17,0.17
930.01,4.20,0.02,0.21,0.23
942.49,4.46,0.02,0.14,0.15
953.71,4.77,0.03,0.21,0.21
966.05,5.15,0.04,0.10,0.10
977.69,5.60,0.04,0.18,0.16
989.33,5.97,0.02,0.16,0.11
1001.66,5.71,-0.08,0.16,0.08
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
