x, y, theta, left_speed, right_speed
11.92,-0.01,0.00,0.19,0.19
24.69,-0.03,-0.01,0.14,0.12
37.88,-0.15,-0.01,0.29,0.26
51.06,-0.34,-0.01,0.44,0.45
62.99,-0.52,-0.02,0.49,0.48
76.17,-0.75,-0.02,0.31,0.34
90.48,-0.95,-0.01,0.36,0.36
101.84,-1.05,-0.01,0.27,0.27
116.01,-1.12,-0.00,0.38,0.38
129.20,-1.13,0.00,0.38,0.39
144.35,-1.06,0.00,0.64,0.67
158.38,-0.99,0.01,0.43,0.43
172.41,-0.81,0.02,0.24,0.24
186.85,-0.54,0.02,0.36,0.38
199.06,-0.29,0.02,0.47,0.47
211.54,0.01,0.03,0.72,0.74
225.70,0.40,0.03,0.34,0.34
242.67,0.86,0.03,0.40,0.40
256.13,1.20,0.03,0.50,0.52
270.30,1.54,0.02,0.48,0.48
283.20,1.83,0.02,0.51,0.51
297.93,2.15,0.02,0.48,0.51
313.92,2.46,0.02,0.48,0.50
329.63,2.76,0.02,0.41,0.41
345.48,3.03,0.01,0.43,0.41
360.63,3.16,0.00,0.31,0.29
374.10,3.21,0.00,0.51,0.49
388.41,3.25,-0.00,0.51,0.48
400.33,3.20,-0.01,1.02,1.00
416.46,3.06,-0.01,0.69,0.69
431.05,2.91,-0.01,0.30,0.29
444.66,2.76,-0.01,0.52,0.52
457.85,2.57,-0.01,0.50,0.50
473.00,2.39,-0.01,0.59,0.59
484.36,2.24,-0.01,0.64,0.64
498.95,2.10,-0.01,0.43,0.45
514.94,1.96,-0.01,0.42,0.44
527.28,1.86,-0.01,0.77,0.77
541.03,1.71,-0.01,0.43,0.42
554.36,1.55,-0.01,0.53,0.53
567.68,1.35,-0.02,0.22,0.21
580.31,1.18,-0.01,0.33,0.35
592.37,1.07,-0.01,0.47,0.47
604.72,0.96,-0.01,0.53,0.54
619.17,0.84,-0.01,0.30,0.31
632.64,0.77,-0.01,0.31,0.31
644.00,0.66,-0.01,0.42,0.40
657.75,0.51,-0.01,0.30,0.30
669.11,0.38,-0.01,0.30,0.30
680.61,0.24,-0.01,0.25,0.23
692.67,0.09,-0.01,0.25,0.23
704.04,-0.04,-0.01,0.24,0.25
716.66,-0.12,-0.00,0.49,0.52
728.31,-0.17,-0.01,0.26,0.25
741.63,-0.26,-0.00,0.12,0.12
754.68,-0.30,-0.00,0.25,0.25
766.89,-0.28,0.00,0.23,0.24
779.09,-0.23,0.01,0.30,0.30
790.59,-0.14,0.01,0.22,0.22
802.80,0.01,0.01,0.15,0.15
815.56,0.17,0.01,0.16,0.16
828.47,0.32,0.01,0.10,0.10
841.09,0.47,0.01,0.16,0.16
852.74,0.55,0.00,0.30,0.29
864.80,0.59,0.00,0.23,0.23
877.57,0.63,0.01,0.40,0.39
889.77,0.69,0.01,0.22,0.22
901.70,0.78,0.01,0.11,0.12
913.48,0.89,0.01,0.21,0.23
924.84,1.05,0.02,0.12,0.12
937.05,1.21,0.01,0.11,0.12
948.27,1.36,0.01,0.11,0.12
960.19,1.57,0.02,0.11,0.11
972.26,1.84,0.02,0.11,0.13
983.47,2.12,0.03,0.23,0.25
994.69,2.47,0.04,0.16,0.16
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
