x, y, theta, left_speed, right_speed
12.20,0.15,0.01,0.09,0.09
25.67,0.25,0.01,0.15,0.17
37.46,0.33,-0.00,0.30,0.25
50.92,0.17,-0.02,0.28,0.24
63.82,-0.19,-0.03,0.26,0.25
78.69,-0.62,-0.03,0.51,0.51
93.41,-1.05,-0.03,0.26,0.26
108.13,-1.51,-0.03,0.20,0.20
119.49,-1.84,-0.03,0.43,0.42
131.27,-2.22,-0.03,0.52,0.52
143.75,-2.61,-0.03,0.33,0.33
157.07,-2.98,-0.03,0.40,0.42
170.40,-3.30,-0.02,0.29,0.31
184.56,-3.60,-0.02,0.39,0.40
196.63,-3.81,-0.01,0.44,0.45
209.11,-3.95,-0.01,0.46,0.49
222.16,-4.05,-0.01,0.45,0.45
236.61,-4.12,-0.00,0.38,0.40
251.34,-4.13,-0.00,0.38,0.39
267.05,-4.09,0.01,0.37,0.39
279.68,-3.99,0.01,0.47,0.49
295.67,-3.74,0.02,0.43,0.44
307.03,-3.52,0.02,0.39,0.40
319.79,-3.23,0.03,0.48,0.50
335.50,-2.83,0.03,0.35,0.35
346.86,-2.53,0.03,0.41,0.39
360.60,-2.12,0.03,0.41,0.42
376.16,-1.64,0.03,0.43,0.43
387.66,-1.27,0.03,0.41,0.41
403.08,-0.75,0.03,0.59,0.59
418.51,-0.26,0.03,0.68,0.68
434.35,0.22,0.03,0.40,0.38
447.82,0.61,0.03,0.54,0.52
463.38,1.03,0.03,0.59,0.58
480.63,1.44,0.02,0.46,0.46
493.82,1.71,0.02,0.73,0.71
506.44,1.97,0.02,0.46,0.44
519.49,2.17,0.01,0.47,0.47
531.41,2.32,0.01,0.44,0.42
544.88,2.46,0.01,0.72,0.70
559.04,2.59,0.01,0.32,0.32
575.18,2.67,0.00,0.42,0.42
587.38,2.69,0.00,0.44,0.42
601.83,2.69,-0.00,0.35,0.35
617.83,2.66,-0.00,0.42,0.42
629.05,2.62,-0.01,0.39,0.39
640.97,2.52,-0.01,0.35,0.33
654.16,2.42,-0.01,0.46,0.46
667.21,2.34,-0.01,0.82,0.82
679.83,2.24,-0.01,0.29,0.28
695.68,2.12,-0.01,0.27,0.28
710.83,2.02,-0.01,0.30,0.30
725.99,1.89,-0.01,0.28,0.28
740.43,1.73,-0.01,0.58,0.56
754.04,1.58,-0.01,0.20,0.20
765.40,1.44,-0.01,0.37,0.38
777.75,1.31,-0.01,0.35,0.35
789.53,1.20,-0.01,0.35,0.33
801.04,1.09,-0.01,0.33,0.32
814.36,0.97,-0.01,0.25,0.25
826.99,0.90,-0.01,0.27,0.28
839.19,0.82,-0.00,0.35,0.36
852.10,0.79,-0.00,0.35,0.34
865.57,0.78,0.00,0.32,0.32
877.21,0.84,0.01,0.20,0.22
888.57,0.91,0.01,0.28,0.28
901.34,1.05,0.01,0.15,0.16
912.84,1.21,0.01,0.28,0.28
924.63,1.39,0.01,0.13,0.14
936.41,1.58,0.02,0.26,0.26
948.61,1.85,0.02,0.33,0.33
962.35,2.16,0.02,0.22,0.23
975.12,2.44,0.03,0.16,0.16
987.32,2.77,0.03,0.18,0.19
999.66,3.12,0.02,0.19,0.17
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
