x, y, theta, left_speed, right_speed
11.64,0.07,0.02,0.05,0.06
24.13,0.29,0.01,0.15,0.14
35.35,0.45,0.01,0.22,0.22
47.41,0.63,0.01,0.43,0.42
58.78,0.68,0.00,0.23,0.23
71.26,0.73,0.00,0.23,0.20
85.85,0.74,0.00,0.68,0.66
98.48,0.74,0.00,0.27,0.27
111.66,0.71,-0.01,0.38,0.37
126.39,0.60,-0.01,0.43,0.41
138.74,0.48,-0.01,0.25,0.25
152.35,0.36,-0.01,0.40,0.40
166.38,0.26,-0.01,0.52,0.52
181.11,0.16,-0.00,0.24,0.25
195.41,0.11,-0.00,0.48,0.51
208.60,0.07,-0.00,0.48,0.48
222.63,0.04,-0.00,0.36,0.37
236.66,0.02,-0.00,0.82,0.80
248.16,-0.02,-0.00,0.64,0.61
265.14,-0.09,-0.01,0.38,0.38
277.34,-0.17,-0.00,0.64,0.65
293.90,-0.22,-0.00,0.28,0.28
307.79,-0.25,-0.00,0.83,0.85
323.50,-0.25,-0.00,0.36,0.36
338.51,-0.27,-0.00,0.58,0.56
353.80,-0.32,-0.00,0.32,0.33
368.25,-0.33,-0.00,0.35,0.35
384.38,-0.37,-0.00,0.43,0.45
398.13,-0.37,-0.00,0.32,0.32
411.88,-0.40,-0.01,0.55,0.53
425.91,-0.49,-0.01,0.33,0.32
440.92,-0.55,-0.00,0.51,0.51
454.95,-0.60,-0.00,0.22,0.22
466.59,-0.62,-0.00,0.45,0.47
478.80,-0.61,0.00,0.32,0.32
490.30,-0.55,0.01,0.72,0.74
503.07,-0.40,0.01,0.74,0.76
514.29,-0.24,0.02,0.42,0.44
526.77,0.01,0.02,0.73,0.74
540.38,0.29,0.02,0.42,0.42
553.56,0.55,0.03,0.31,0.33
567.16,0.89,0.03,0.31,0.32
579.51,1.23,0.03,0.27,0.28
591.43,1.55,0.03,0.39,0.39
603.91,1.87,0.02,0.49,0.49
619.05,2.20,0.02,0.42,0.39
633.92,2.42,0.02,0.28,0.28
647.53,2.63,0.01,0.36,0.35
661.98,2.80,0.01,0.28,0.26
674.88,2.92,0.00,0.32,0.30
687.79,2.97,-0.00,0.28,0.25
699.58,2.91,-0.01,0.26,0.24
713.46,2.78,-0.01,0.14,0.14
726.51,2.60,-0.02,0.19,0.17
738.99,2.40,-0.02,0.20,0.20
750.49,2.18,-0.02,0.28,0.26
762.00,1.93,-0.03,0.17,0.15
774.90,1.62,-0.02,0.21,0.22
788.50,1.41,-0.01,0.18,0.20
800.57,1.31,-0.00,0.21,0.21
813.48,1.25,-0.00,0.15,0.14
824.84,1.18,-0.01,0.15,0.14
836.62,1.12,-0.00,0.08,0.09
848.83,1.13,0.00,0.20,0.20
861.31,1.19,-0.00,0.13,0.12
873.10,1.18,-0.01,0.15,0.14
886.28,1.09,-0.01,0.22,0.24
899.47,0.98,-0.01,0.22,0.22
911.96,0.81,-0.02,0.23,0.25
923.60,0.63,-0.01,0.09,0.09
934.96,0.50,-0.01,0.18,0.20
946.46,0.38,-0.01,0.10,0.10
957.83,0.28,-0.01,0.17,0.17
970.73,0.18,-0.01,0.13,0.13
982.94,0.14,-0.00,0.14,0.12
995.56,0.06,-0.00,0.13,0.15
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
