x, y, theta, left_speed, right_speed
11.36,0.09,0.01,0.09,0.09
22.73,0.21,0.01,0.09,0.09
34.65,0.40,0.02,0.20,0.20
48.68,0.64,0.02,0.26,0.24
60.74,0.83,0.02,0.15,0.17
74.21,1.01,0.00,0.39,0.34
88.37,1.03,-0.01,0.30,0.29
101.56,0.93,-0.01,0.61,0.59
116.99,0.71,-0.02,0.31,0.31
132.56,0.38,-0.02,0.41,0.39
144.62,0.08,-0.02,0.71,0.71
157.10,-0.23,-0.03,0.29,0.28
171.97,-0.61,-0.03,0.40,0.40
186.27,-0.95,-0.03,0.42,0.42
199.88,-1.27,-0.02,0.36,0.36
211.52,-1.52,-0.02,0.45,0.45
224.00,-1.74,-0.02,0.40,0.40
238.17,-1.92,-0.01,0.36,0.38
254.30,-1.97,0.00,0.46,0.48
267.63,-1.91,0.01,0.45,0.45
279.70,-1.81,0.01,0.44,0.46
292.88,-1.64,0.01,0.80,0.82
307.33,-1.43,0.02,0.32,0.31
322.76,-1.18,0.02,0.44,0.44
334.82,-0.93,0.02,0.42,0.42
349.55,-0.68,0.02,0.43,0.44
362.45,-0.43,0.02,0.36,0.37
374.66,-0.19,0.02,0.45,0.45
387.98,0.01,0.01,0.85,0.84
403.55,0.18,0.01,0.42,0.42
417.58,0.29,0.01,0.40,0.38
431.19,0.37,0.01,0.53,0.52
445.50,0.46,0.01,0.35,0.35
459.25,0.55,0.01,0.42,0.42
472.29,0.65,0.01,0.32,0.34
485.62,0.78,0.01,0.34,0.33
497.41,0.85,0.01,0.45,0.45
508.77,0.93,0.01,0.40,0.40
522.38,1.06,0.01,0.37,0.40
535.14,1.21,0.01,0.22,0.23
547.63,1.32,0.01,0.34,0.34
563.20,1.45,0.01,0.54,0.53
578.91,1.57,0.00,0.32,0.30
594.06,1.58,-0.00,0.30,0.29
608.51,1.53,-0.01,0.51,0.50
620.72,1.44,-0.01,0.35,0.35
634.32,1.30,-0.01,0.62,0.62
647.37,1.14,-0.01,0.40,0.40
661.68,1.00,-0.01,0.32,0.32
674.30,0.88,-0.01,0.22,0.23
687.21,0.76,-0.02,0.37,0.36
699.55,0.52,-0.02,0.28,0.26
712.73,0.20,-0.02,0.23,0.24
724.80,-0.05,-0.02,0.31,0.33
737.56,-0.20,-0.01,0.16,0.17
749.91,-0.23,-0.00,0.22,0.25
762.25,-0.19,0.01,0.20,0.20
775.44,-0.07,0.01,0.14,0.14
789.33,0.01,0.00,0.18,0.18
800.69,0.01,0.00,0.17,0.16
813.60,0.00,0.00,0.26,0.27
826.22,0.06,0.01,0.18,0.17
838.01,0.13,0.01,0.19,0.20
849.51,0.25,0.01,0.15,0.15
862.56,0.42,0.02,0.28,0.26
874.76,0.59,0.01,0.11,0.11
887.95,0.74,0.01,0.11,0.10
899.31,0.88,0.01,0.19,0.19
911.23,1.01,0.01,0.17,0.15
923.44,1.14,0.01,0.12,0.13
935.36,1.29,0.01,0.15,0.16
946.72,1.42,0.01,0.08,0.09
958.23,1.55,0.01,0.10,0.12
970.29,1.68,0.01,0.12,0.11
983.06,1.79,0.01,0.19,0.20
994.70,1.92,0.01,0.11,0.09
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
