x, y, theta, left_speed, right_speed
12.06,0.18,0.01,0.21,0.16
25.25,0.12,-0.01,0.23,0.22
39.98,-0.10,-0.02,0.20,0.20
51.90,-0.28,-0.01,0.28,0.31
65.79,-0.40,-0.00,0.17,0.18
77.43,-0.44,0.00,0.27,0.29
92.02,-0.45,0.00,0.41,0.41
104.23,-0.42,0.00,0.71,0.74
117.70,-0.41,-0.00,0.30,0.29
133.41,-0.52,-0.01,0.43,0.42
148.28,-0.67,-0.01,0.36,0.36
163.57,-0.86,-0.01,0.52,0.52
179.28,-1.06,-0.01,0.39,0.39
194.29,-1.25,-0.01,0.35,0.35
209.86,-1.44,-0.01,0.57,0.57
225.15,-1.67,-0.02,0.59,0.56
237.91,-1.96,-0.03,0.50,0.50
250.39,-2.28,-0.02,0.48,0.46
263.86,-2.56,-0.02,0.26,0.28
276.34,-2.76,-0.01,0.44,0.44
289.67,-2.93,-0.01,0.45,0.45
302.29,-3.05,-0.01,0.44,0.46
315.06,-3.15,-0.01,0.44,0.46
328.53,-3.23,-0.01,0.81,0.81
343.96,-3.29,0.00,0.48,0.48
355.32,-3.29,0.00,0.38,0.40
368.93,-3.23,0.01,0.72,0.73
381.56,-3.15,0.01,0.50,0.51
394.32,-2.99,0.02,0.47,0.51
407.37,-2.78,0.02,0.45,0.47
419.15,-2.55,0.02,0.48,0.48
432.33,-2.28,0.02,0.44,0.45
446.78,-1.99,0.02,0.43,0.45
462.91,-1.66,0.02,0.41,0.41
475.53,-1.42,0.02,0.77,0.80
489.70,-1.14,0.02,0.53,0.51
505.69,-0.86,0.02,0.47,0.45
517.61,-0.70,0.01,0.38,0.38
528.84,-0.55,0.01,0.69,0.69
540.62,-0.41,0.01,0.39,0.42
552.82,-0.28,0.01,0.37,0.37
566.43,-0.15,0.01,0.37,0.37
581.30,-0.07,0.00,0.39,0.37
594.35,-0.07,-0.00,0.43,0.43
605.71,-0.11,-0.01,0.29,0.27
620.44,-0.22,-0.01,0.46,0.46
631.80,-0.35,-0.01,0.36,0.34
644.15,-0.51,-0.01,0.50,0.51
658.46,-0.67,-0.01,0.29,0.30
672.35,-0.73,-0.00,0.28,0.28
685.67,-0.71,0.01,0.28,0.28
699.42,-0.61,0.01,0.28,0.27
713.03,-0.49,0.01,0.31,0.33
726.22,-0.33,0.02,0.56,0.57
738.70,-0.11,0.02,0.19,0.19
752.72,0.22,0.03,0.22,0.23
765.48,0.60,0.04,0.33,0.34
778.66,1.07,0.04,0.47,0.47
790.16,1.46,0.03,0.22,0.22
804.46,1.91,0.03,0.19,0.19
815.96,2.20,0.02,0.22,0.18
827.33,2.34,0.01,0.15,0.15
838.69,2.38,-0.00,0.48,0.44
849.91,2.32,-0.01,0.24,0.25
861.55,2.17,-0.02,0.28,0.25
876.00,1.85,-0.03,0.28,0.26
888.34,1.46,-0.04,0.29,0.29
900.82,1.00,-0.04,0.26,0.27
913.43,0.50,-0.04,0.20,0.18
925.07,0.06,-0.04,0.09,0.10
936.43,-0.34,-0.03,0.17,0.17
949.18,-0.77,-0.04,0.10,0.10
961.66,-1.20,-0.03,0.15,0.14
973.02,-1.56,-0.03,0.18,0.16
984.38,-1.94,-0.04,0.28,0.27
995.87,-2.40,-0.04,0.21,0.21
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
