x, y, theta, left_speed, right_speed
12.62,0.22,0.01,0.11,0.09
25.67,0.27,0.00,0.17,0.18
38.30,0.31,0.00,0.22,0.22
49.66,0.36,0.00,0.26,0.26
63.27,0.42,0.01,0.30,0.32
77.58,0.61,0.02,0.38,0.40
90.20,0.81,0.02,0.30,0.30
106.47,1.06,0.01,0.44,0.42
118.40,1.17,0.01,0.25,0.25
135.37,1.35,0.01,0.40,0.40
149.12,1.46,0.01,0.43,0.43
163.15,1.56,0.01,0.85,0.85
178.16,1.69,0.01,0.34,0.34
193.73,1.77,0.00,0.45,0.47
208.46,1.82,0.00,0.61,0.60
223.75,1.82,-0.00,0.26,0.26
237.64,1.79,0.00,0.85,0.85
248.86,1.79,0.00,0.59,0.61
265.84,1.76,-0.00,0.28,0.28
277.06,1.72,-0.00,0.84,0.83
293.19,1.67,-0.01,0.43,0.42
306.80,1.55,-0.01,0.48,0.48
319.85,1.40,-0.01,0.45,0.43
331.07,1.26,-0.01,0.62,0.61
346.92,1.00,-0.02,0.36,0.36
362.63,0.75,-0.02,0.42,0.45
374.41,0.58,-0.02,0.41,0.41
390.40,0.32,-0.02,0.37,0.37
401.63,0.16,-0.02,0.41,0.41
414.53,-0.04,-0.02,0.46,0.47
426.87,-0.24,-0.02,0.43,0.44
439.78,-0.44,-0.02,0.36,0.36
452.54,-0.62,-0.01,0.76,0.76
465.73,-0.81,-0.01,0.43,0.43
480.46,-0.97,-0.01,0.38,0.40
494.77,-1.10,-0.01,0.55,0.57
509.64,-1.21,-0.01,0.37,0.37
521.98,-1.29,-0.00,0.43,0.45
533.35,-1.29,0.01,0.40,0.42
546.11,-1.20,0.01,0.42,0.43
561.12,-1.05,0.01,0.53,0.56
574.73,-0.85,0.02,0.33,0.33
587.91,-0.64,0.02,0.30,0.30
602.36,-0.37,0.02,0.65,0.65
614.28,-0.14,0.02,0.39,0.42
627.05,0.15,0.02,0.28,0.28
640.79,0.41,0.02,0.38,0.38
653.00,0.67,0.02,0.34,0.33
666.46,0.97,0.02,0.38,0.38
678.38,1.23,0.02,0.34,0.34
691.01,1.48,0.02,0.37,0.37
704.75,1.72,0.01,0.29,0.29
718.08,1.87,0.01,0.24,0.24
730.00,1.95,0.01,0.16,0.16
742.91,2.02,0.01,0.21,0.21
755.53,2.10,0.01,0.28,0.28
767.04,2.18,0.01,0.25,0.25
778.68,2.24,0.00,0.32,0.31
791.03,2.22,-0.01,0.26,0.24
805.05,1.98,-0.02,0.13,0.13
817.12,1.71,-0.02,0.12,0.12
830.02,1.38,-0.03,0.14,0.14
841.24,1.04,-0.03,0.07,0.07
853.30,0.76,-0.02,0.19,0.20
864.52,0.44,-0.04,0.11,0.12
876.15,0.09,-0.03,0.16,0.16
888.50,-0.22,-0.02,0.07,0.07
899.72,-0.39,-0.01,0.07,0.07
911.08,-0.43,-0.00,0.08,0.08
923.15,-0.40,0.01,0.09,0.09
935.63,-0.26,0.01,0.08,0.08
948.12,-0.10,0.02,0.12,0.13
959.90,0.05,0.01,0.16,0.14
971.26,0.15,0.01,0.08,0.08
983.19,0.18,-0.00,0.15,0.13
995.95,0.04,-0.02,0.13,0.11
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
