x, y, theta, left_speed, right_speed
11.50,0.07,0.01,0.18,0.18
23.57,0.26,0.02,0.15,0.17
34.79,0.48,0.02,0.27,0.27
46.29,0.69,0.01,0.26,0.24
58.07,0.78,-0.00,0.29,0.26
72.24,0.72,-0.01,0.23,0.22
86.83,0.52,-0.02,0.25,0.24
98.47,0.27,-0.03,0.32,0.29
111.79,-0.09,-0.03,0.35,0.34
123.29,-0.43,-0.03,0.38,0.38
138.02,-0.88,-0.03,0.37,0.37
151.90,-1.35,-0.04,0.37,0.37
164.23,-1.79,-0.04,0.42,0.42
178.82,-2.26,-0.03,0.44,0.45
193.26,-2.68,-0.03,0.89,0.92
208.13,-3.03,-0.02,0.24,0.24
220.61,-3.26,-0.02,0.47,0.47
235.90,-3.47,-0.01,0.60,0.61
251.05,-3.65,-0.01,0.58,0.61
266.06,-3.82,-0.01,0.63,0.63
279.11,-3.95,-0.01,0.44,0.46
291.59,-4.03,-0.00,0.44,0.46
304.92,-4.07,-0.00,0.25,0.25
319.09,-4.06,0.00,0.40,0.43
333.54,-3.97,0.01,0.55,0.55
348.83,-3.80,0.01,0.37,0.38
361.59,-3.65,0.01,0.44,0.45
373.24,-3.50,0.02,0.46,0.47
386.42,-3.29,0.02,0.44,0.45
398.21,-3.10,0.02,0.44,0.44
410.55,-2.86,0.02,0.38,0.39
425.14,-2.53,0.02,0.85,0.87
439.58,-2.20,0.02,0.56,0.58
454.45,-1.92,0.02,0.26,0.25
467.77,-1.69,0.02,0.45,0.43
482.36,-1.45,0.02,0.30,0.30
498.35,-1.19,0.02,0.39,0.39
512.66,-0.96,0.02,0.45,0.45
528.93,-0.68,0.02,0.44,0.44
541.28,-0.48,0.02,0.30,0.31
552.92,-0.30,0.01,0.63,0.61
565.26,-0.14,0.01,0.38,0.38
580.27,0.05,0.01,0.51,0.51
593.74,0.18,0.01,0.60,0.58
605.66,0.26,0.01,0.65,0.63
621.38,0.37,0.01,0.41,0.41
637.37,0.42,-0.00,0.35,0.33
652.80,0.36,-0.01,0.41,0.40
668.09,0.24,-0.01,0.20,0.20
682.82,0.07,-0.01,0.20,0.19
696.99,-0.10,-0.01,0.29,0.29
710.60,-0.22,-0.01,0.31,0.34
723.22,-0.32,-0.01,0.34,0.33
735.57,-0.41,-0.01,0.23,0.23
747.35,-0.48,-0.01,0.25,0.25
759.28,-0.55,-0.00,0.17,0.17
770.50,-0.59,-0.00,0.25,0.26
784.39,-0.56,0.01,0.35,0.36
796.45,-0.47,0.01,0.29,0.29
808.38,-0.40,0.01,0.16,0.16
821.28,-0.29,0.01,0.24,0.24
834.47,-0.15,0.01,0.35,0.35
846.81,-0.05,0.01,0.20,0.21
859.44,0.05,0.01,0.17,0.20
871.08,0.17,0.01,0.26,0.26
884.13,0.37,0.02,0.10,0.10
896.61,0.59,0.02,0.25,0.25
909.09,0.89,0.03,0.13,0.14
921.01,1.30,0.04,0.17,0.18
933.49,1.83,0.05,0.14,0.13
945.26,2.37,0.04,0.18,0.16
958.01,2.94,0.05,0.09,0.09
970.35,3.45,0.04,0.27,0.23
981.84,3.91,0.04,0.08,0.08
993.89,4.41,0.04,0.22,0.22
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
