x, y, theta, left_speed, right_speed
11.50,0.11,0.00,0.14,0.13
23.85,0.09,-0.01,0.17,0.17
36.33,0.03,-0.00,0.20,0.20
47.70,-0.04,-0.01,0.19,0.18
59.76,-0.17,-0.01,0.28,0.28
72.81,-0.27,-0.01,0.31,0.31
87.54,-0.38,-0.01,0.33,0.34
99.60,-0.46,-0.01,0.34,0.34
111.53,-0.53,-0.00,0.45,0.47
124.99,-0.54,0.00,0.30,0.31
138.18,-0.51,0.00,0.38,0.40
151.79,-0.45,0.01,0.51,0.49
165.82,-0.37,0.01,0.55,0.56
179.29,-0.30,0.01,0.79,0.79
191.21,-0.20,0.01,0.44,0.44
204.40,-0.06,0.01,0.44,0.46
217.44,0.07,0.01,0.50,0.50
232.87,0.26,0.01,0.45,0.48
250.27,0.51,0.01,0.47,0.48
263.03,0.67,0.02,0.51,0.51
277.20,0.87,0.01,0.36,0.36
293.05,1.07,0.01,0.55,0.54
308.34,1.22,0.01,0.94,0.93
324.61,1.33,0.01,0.41,0.41
335.84,1.40,0.01,0.48,0.48
352.25,1.48,0.00,0.38,0.38
366.84,1.55,0.00,0.80,0.78
380.45,1.57,-0.00,0.51,0.51
395.46,1.53,-0.00,0.51,0.51
409.07,1.49,-0.01,0.50,0.50
424.22,1.38,-0.01,0.39,0.39
437.69,1.29,-0.01,0.82,0.80
449.47,1.21,-0.01,0.67,0.68
466.73,1.14,-0.00,0.38,0.39
482.16,1.09,-0.00,0.45,0.46
499.55,1.03,-0.00,0.48,0.46
512.74,0.98,-0.00,0.45,0.45
528.03,0.94,-0.00,0.92,0.92
545.29,0.90,-0.00,0.50,0.50
560.30,0.87,-0.00,0.43,0.45
576.57,0.87,-0.00,0.44,0.44
590.88,0.87,-0.00,0.35,0.35
606.31,0.85,-0.00,0.70,0.70
618.94,0.84,-0.00,0.26,0.25
633.81,0.79,-0.01,0.53,0.54
646.72,0.71,-0.01,0.21,0.21
662.71,0.62,-0.01,0.52,0.51
677.16,0.50,-0.01,0.34,0.34
689.08,0.38,-0.01,0.36,0.35
702.41,0.21,-0.02,0.61,0.60
715.87,0.00,-0.02,0.27,0.27
727.66,-0.18,-0.02,0.22,0.22
739.02,-0.37,-0.01,0.27,0.27
752.06,-0.53,-0.01,0.31,0.32
764.55,-0.60,-0.00,0.47,0.52
776.33,-0.57,0.01,0.25,0.25
788.96,-0.46,0.01,0.13,0.12
802.00,-0.28,0.02,0.16,0.16
814.91,-0.01,0.03,0.15,0.16
827.11,0.36,0.03,0.10,0.10
839.73,0.76,0.03,0.15,0.15
852.77,1.17,0.04,0.17,0.17
864.83,1.61,0.04,0.16,0.15
877.86,2.07,0.03,0.15,0.14
889.22,2.44,0.04,0.29,0.29
901.14,2.86,0.04,0.16,0.18
913.34,3.31,0.04,0.19,0.19
925.11,3.72,0.04,0.14,0.16
937.03,4.19,0.04,0.14,0.14
948.24,4.63,0.04,0.24,0.25
960.16,5.12,0.04,0.25,0.24
971.37,5.61,0.05,0.16,0.16
982.72,6.10,0.04,0.18,0.16
995.62,6.51,0.01,0.17,0.14
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
