x, y, theta, left_speed, right_speed
11.78,-0.05,-0.01,0.12,0.12
24.83,-0.14,-0.01,0.17,0.17
36.47,-0.30,-0.02,0.20,0.19
49.38,-0.51,-0.01,0.49,0.49
61.16,-0.72,-0.02,0.26,0.26
74.63,-0.95,-0.01,0.30,0.32
88.51,-1.07,-0.00,0.29,0.30
100.58,-1.10,-0.00,0.30,0.30
114.61,-1.15,-0.00,0.49,0.48
127.80,-1.18,-0.00,0.32,0.34
139.58,-1.21,-0.00,0.42,0.42
150.94,-1.24,-0.01,0.46,0.44
162.87,-1.32,-0.00,0.42,0.42
175.63,-1.35,0.00,0.43,0.44
187.28,-1.33,0.00,0.46,0.47
200.32,-1.27,0.01,0.30,0.31
214.35,-1.15,0.01,0.42,0.47
231.19,-0.92,0.02,0.46,0.46
243.67,-0.65,0.02,0.49,0.51
257.41,-0.30,0.03,0.79,0.82
270.17,0.09,0.03,0.45,0.44
284.05,0.57,0.04,0.82,0.85
297.79,1.08,0.04,0.48,0.48
311.11,1.64,0.04,0.52,0.52
325.26,2.20,0.04,0.28,0.28
336.76,2.70,0.04,0.63,0.64
353.44,3.44,0.05,0.28,0.28
368.29,4.09,0.05,0.90,0.93
380.06,4.62,0.05,0.62,0.62
397.30,5.36,0.04,0.39,0.39
409.36,5.85,0.04,0.58,0.56
426.18,6.45,0.04,0.47,0.47
439.92,6.92,0.03,0.51,0.48
454.51,7.31,0.02,0.88,0.85
467.69,7.58,0.02,0.48,0.46
481.30,7.76,0.01,0.46,0.43
496.17,7.81,0.00,0.96,0.91
513.14,7.71,-0.02,0.51,0.48
527.03,7.47,-0.02,0.84,0.81
539.37,7.19,-0.03,0.46,0.46
554.24,6.78,-0.03,0.43,0.43
570.78,6.21,-0.04,0.47,0.47
583.68,5.71,-0.04,0.78,0.76
595.17,5.25,-0.05,0.40,0.38
607.09,4.71,-0.05,0.44,0.42
619.14,4.12,-0.05,0.47,0.46
631.47,3.53,-0.05,0.33,0.33
644.92,2.88,-0.05,0.38,0.38
660.05,2.16,-0.04,0.42,0.43
671.83,1.67,-0.04,0.39,0.39
684.58,1.14,-0.04,0.37,0.39
696.78,0.70,-0.04,0.30,0.32
708.98,0.28,-0.03,0.32,0.34
723.98,-0.19,-0.03,0.36,0.37
735.76,-0.50,-0.02,0.27,0.29
748.53,-0.74,-0.01,0.35,0.38
762.83,-0.87,-0.01,0.48,0.50
776.02,-0.93,0.00,0.34,0.35
789.21,-0.89,0.01,0.23,0.25
800.85,-0.78,0.01,0.38,0.38
812.21,-0.66,0.01,0.21,0.23
826.10,-0.44,0.02,0.35,0.38
839.71,-0.12,0.03,0.24,0.24
852.89,0.19,0.03,0.24,0.24
866.21,0.56,0.03,0.16,0.17
878.83,0.96,0.04,0.41,0.41
891.17,1.40,0.04,0.25,0.25
902.66,1.81,0.04,0.35,0.33
915.42,2.25,0.03,0.42,0.40
927.34,2.67,0.04,0.26,0.29
939.96,3.16,0.04,0.11,0.11
952.71,3.71,0.05,0.28,0.28
966.03,4.31,0.05,0.18,0.18
978.08,4.90,0.05,0.09,0.09
990.27,5.46,0.03,0.11,0.08
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
