x, y, theta, left_speed, right_speed, left_bump, right_bump
15.01,-0.18,-0.01,0.14,0.12,0.32,0.17
31.00,-0.36,-0.01,0.20,0.20,0.24,0.10
46.29,-0.51,-0.01,0.21,0.21,0.25,0.12
61.58,-0.69,-0.01,0.25,0.27,0.23,0.12
79.54,-0.85,-0.01,0.22,0.22,0.20,0.10
95.39,-0.96,-0.00,0.27,0.29,0.17,0.09
110.54,-0.90,0.01,0.33,0.35,0.17,0.11
125.83,-0.67,0.02,0.27,0.29,0.16,0.11
142.52,-0.42,0.01,0.21,0.20,0.17,0.12
160.62,-0.20,0.01,0.29,0.29,0.13,0.09
178.02,-0.03,0.01,0.37,0.35,0.16,0.10
195.69,0.15,0.01,0.34,0.34,0.12,0.07
213.51,0.34,0.01,0.59,0.58,0.16,0.10
232.44,0.48,0.01,0.29,0.30,0.17,0.11
250.12,0.67,0.01,0.40,0.40,0.12,0.08
264.99,0.78,0.01,0.35,0.37,0.15,0.10
283.09,0.98,0.01,0.36,0.34,0.12,0.08
301.18,1.21,0.01,0.34,0.36,0.15,0.10
316.05,1.35,0.01,0.36,0.34,0.17,0.13
331.06,1.48,0.01,0.36,0.34,0.15,0.10
346.21,1.55,0.00,0.38,0.36,0.13,0.09
361.08,1.53,0.00,0.36,0.36,0.12,0.07
376.24,1.53,0.00,0.36,0.36,0.13,0.09
390.97,1.50,-0.00,0.61,0.61,0.13,0.09
408.92,1.46,-0.00,0.29,0.27,0.07,0.06
425.76,1.41,-0.00,0.34,0.34,0.13,0.12
442.87,1.36,-0.00,0.25,0.25,0.12,0.13
459.85,1.31,0.00,0.31,0.34,0.08,0.10
477.24,1.31,0.00,0.29,0.29,0.08,0.12
494.22,1.31,-0.00,0.38,0.38,0.07,0.13
509.37,1.25,-0.00,0.32,0.31,0.06,0.14
526.62,1.17,-0.01,0.25,0.25,0.07,0.10
544.44,1.04,-0.01,0.34,0.34,0.04,0.14
559.17,0.87,-0.01,0.25,0.25,0.07,0.14
574.04,0.68,-0.01,0.36,0.36,0.05,0.14
589.33,0.46,-0.02,0.36,0.36,0.04,0.13
604.06,0.22,-0.02,0.36,0.36,0.03,0.14
620.75,-0.11,-0.02,0.50,0.48,0.04,0.13
636.04,-0.47,-0.03,0.45,0.43,0.04,0.10
650.76,-0.85,-0.03,0.43,0.43,0.05,0.11
666.05,-1.32,-0.03,0.45,0.45,0.09,0.14
681.19,-1.81,-0.03,0.45,0.45,0.10,0.14
696.19,-2.25,-0.03,0.43,0.43,0.12,0.15
711.62,-2.70,-0.03,0.45,0.45,0.07,0.10
728.03,-3.14,-0.03,0.34,0.33,0.10,0.14
745.70,-3.60,-0.03,0.40,0.39,0.05,0.10
763.51,-4.11,-0.03,0.34,0.34,0.09,0.14
780.47,-4.62,-0.03,0.34,0.34,0.08,0.12
799.26,-5.30,-0.04,0.31,0.29,0.13,0.16
814.40,-5.89,-0.04,0.36,0.36,0.13,0.14
832.90,-6.64,-0.05,0.29,0.27,0.17,0.17
847.76,-7.33,-0.05,0.29,0.29,0.17,0.17
862.47,-7.98,-0.04,0.31,0.29,0.13,0.14
877.61,-8.61,-0.04,0.29,0.29,0.17,0.15
892.47,-9.21,-0.04,0.29,0.33,0.15,0.15
910.56,-9.79,-0.03,0.27,0.27,0.09,0.09
925.70,-10.23,-0.03,0.28,0.29,0.12,0.13
941.13,-10.63,-0.03,0.43,0.43,0.16,0.13
956.84,-11.02,-0.03,0.52,0.52,0.15,0.14
971.56,-11.39,-0.02,0.30,0.31,0.09,0.10
986.71,-11.69,-0.02,0.29,0.29,0.16,0.14
1001.86,-11.93,-0.02,0.40,0.40,0.10,0.08
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
