x, y, theta, left_speed, right_speed, left_bump, right_bump
15.15,0.17,0.01,0.14,0.14,0.17,0.07
30.30,0.38,0.01,0.20,0.22,0.12,0.03
46.71,0.67,0.02,0.25,0.27,0.10,0.03
62.14,1.05,0.02,0.25,0.27,0.10,0.02
77.29,1.38,0.02,0.22,0.23,0.10,0.03
92.01,1.74,0.03,0.30,0.35,0.07,0.03
107.29,2.28,0.04,0.29,0.29,0.05,0.02
122.71,2.98,0.05,0.53,0.56,0.05,0.04
139.80,3.82,0.05,0.27,0.25,0.09,0.09
156.34,4.62,0.05,0.36,0.38,0.08,0.06
173.58,5.36,0.04,0.36,0.34,0.07,0.06
188.44,5.89,0.03,0.36,0.36,0.07,0.06
203.30,6.36,0.03,0.36,0.34,0.05,0.04
221.11,6.83,0.02,0.61,0.63,0.07,0.05
238.08,7.27,0.03,0.22,0.22,0.05,0.04
253.79,7.64,0.02,0.34,0.33,0.06,0.03
270.48,7.95,0.02,0.31,0.31,0.07,0.03
287.74,8.21,0.01,0.61,0.61,0.07,0.03
305.83,8.40,0.01,0.27,0.27,0.07,0.02
320.56,8.52,0.01,0.27,0.28,0.08,0.02
338.10,8.64,0.01,0.29,0.31,0.09,0.03
352.83,8.80,0.01,0.27,0.29,0.07,0.03
368.12,8.96,0.01,0.43,0.43,0.10,0.04
384.39,9.07,0.00,0.32,0.32,0.07,0.01
399.54,9.12,0.00,0.26,0.26,0.09,0.03
414.55,9.16,0.00,0.26,0.26,0.09,0.03
429.56,9.17,0.00,0.21,0.20,0.10,0.03
447.94,9.23,0.01,0.29,0.29,0.08,0.01
465.06,9.26,0.00,0.29,0.29,0.09,0.02
481.89,9.23,0.00,0.29,0.31,0.08,-0.00
497.74,9.20,0.00,0.33,0.31,0.10,0.03
514.44,9.32,0.01,0.27,0.27,0.10,0.03
530.85,9.52,0.02,0.32,0.35,0.07,0.01
547.12,9.74,0.02,0.29,0.29,0.09,0.03
563.81,9.99,0.01,0.31,0.31,0.09,0.02
581.91,10.18,0.00,0.31,0.29,0.10,0.03
599.59,10.25,0.00,0.39,0.38,0.10,0.03
614.32,10.29,0.00,0.44,0.44,0.11,0.03
631.85,10.31,0.00,0.31,0.30,0.07,-0.01
649.39,10.39,0.01,0.33,0.32,0.11,0.02
668.05,10.55,0.01,0.27,0.29,0.09,0.05
685.44,10.71,0.01,0.37,0.37,0.09,0.01
700.31,10.85,0.01,0.37,0.37,0.09,0.01
718.41,11.00,0.01,0.25,0.25,0.07,0.00
733.70,11.14,0.01,0.36,0.36,0.11,0.01
750.67,11.32,0.01,0.47,0.48,0.09,0.00
765.54,11.58,0.02,0.39,0.39,0.12,0.03
780.83,11.87,0.02,0.32,0.31,0.12,0.01
795.56,12.08,0.01,0.28,0.29,0.07,-0.00
811.83,12.33,0.02,0.29,0.31,0.10,-0.01
828.80,12.63,0.02,0.58,0.58,0.09,0.00
846.76,12.96,0.02,0.29,0.27,0.09,0.00
865.69,13.40,0.02,0.31,0.31,0.12,0.03
880.98,13.68,0.02,0.28,0.26,0.12,0.02
896.27,13.95,0.02,0.30,0.29,0.09,0.02
911.84,14.26,0.02,0.28,0.28,0.08,0.01
927.55,14.52,0.02,0.26,0.25,0.08,0.01
942.42,14.80,0.02,0.30,0.30,0.10,0.03
957.56,15.07,0.02,0.28,0.28,0.10,0.03
972.71,15.31,0.02,0.26,0.28,0.10,0.03
987.86,15.53,0.01,0.30,0.29,0.09,0.02
1003.57,15.69,0.01,0.32,0.30,0.10,0.03
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
