x, y, theta, left_speed, right_speed, left_bump, right_bump
15.99,0.21,0.02,0.14,0.15,0.31,0.16
31.14,0.50,0.02,0.20,0.20,0.27,0.11
47.27,0.77,0.02,0.23,0.22,0.28,0.10
62.84,0.98,0.01,0.19,0.19,0.28,0.09
80.09,1.24,0.02,0.19,0.21,0.23,0.07
97.91,1.53,0.02,0.22,0.22,0.21,0.06
113.90,1.87,0.03,0.25,0.25,0.21,0.06
129.47,2.27,0.02,0.35,0.35,0.21,0.05
145.17,2.58,0.02,0.31,0.28,0.27,0.09
161.31,2.81,0.01,0.57,0.57,0.26,0.07
177.72,3.01,0.01,0.21,0.21,0.07,0.02
193.29,3.13,0.01,0.37,0.38,0.18,0.06
209.98,3.28,0.01,0.34,0.34,0.34,0.10
224.99,3.47,0.01,0.37,0.36,0.25,0.07
240.14,3.71,0.02,0.34,0.33,0.21,0.06
258.80,4.09,0.02,0.28,0.29,0.21,0.05
276.61,4.50,0.03,0.26,0.26,0.21,0.09
291.33,4.91,0.03,0.41,0.41,0.18,0.07
306.48,5.40,0.04,0.26,0.26,0.15,0.03
321.62,5.97,0.04,0.43,0.46,0.18,0.07
336.90,6.57,0.04,0.43,0.43,0.16,0.05
352.04,7.17,0.04,0.45,0.45,0.12,0.06
367.46,7.77,0.04,0.46,0.45,0.14,0.05
383.30,8.35,0.04,0.44,0.43,0.16,0.07
400.82,8.97,0.04,0.36,0.37,0.16,0.08
416.94,9.61,0.04,0.34,0.34,0.15,0.06
433.06,10.26,0.04,0.54,0.54,0.19,0.08
448.34,10.88,0.04,0.32,0.32,0.19,0.05
463.62,11.52,0.04,0.32,0.31,0.17,0.05
479.32,12.12,0.04,0.36,0.36,0.17,0.05
494.18,12.71,0.04,0.36,0.34,0.17,0.05
512.69,13.43,0.04,0.30,0.30,0.19,0.07
530.63,14.12,0.04,0.25,0.26,0.16,0.06
548.57,14.82,0.04,0.25,0.25,0.16,0.04
563.29,15.39,0.04,0.36,0.34,0.16,0.06
578.57,15.92,0.03,0.36,0.34,0.15,0.03
594.98,16.45,0.04,0.47,0.48,0.12,0.03
609.70,16.98,0.04,0.26,0.26,0.14,0.07
627.36,17.69,0.04,0.25,0.26,0.21,0.08
645.30,18.44,0.05,0.34,0.36,0.19,0.07
660.02,19.09,0.04,0.35,0.34,0.15,0.05
675.30,19.71,0.04,0.36,0.36,0.19,0.04
690.86,20.29,0.04,0.36,0.38,0.18,0.05
706.42,20.82,0.03,0.38,0.38,0.20,0.07
721.85,21.35,0.04,0.65,0.65,0.17,0.03
737.69,21.94,0.04,0.67,0.67,0.19,0.04
756.33,22.60,0.03,0.24,0.22,0.11,0.02
773.58,23.13,0.03,0.24,0.25,0.18,0.06
791.39,23.63,0.03,0.36,0.34,0.23,0.07
808.78,24.12,0.03,0.35,0.33,0.17,0.05
824.48,24.62,0.03,0.28,0.28,0.20,0.04
842.15,25.19,0.03,0.34,0.34,0.17,0.05
860.52,25.73,0.03,0.29,0.29,0.17,0.05
879.59,26.22,0.02,0.32,0.31,0.16,0.06
897.69,26.66,0.03,0.38,0.40,0.16,0.06
913.39,27.08,0.03,0.33,0.32,0.17,0.07
931.20,27.52,0.02,0.43,0.43,0.18,0.05
949.16,27.91,0.02,0.27,0.27,0.23,0.14
966.55,28.27,0.02,0.62,0.62,0.19,0.07
981.42,28.53,0.02,0.33,0.35,0.15,0.03
999.93,28.84,0.02,0.28,0.28,0.17,0.05
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
