x, y, theta, left_speed, right_speed, left_bump, right_bump
14.73,-0.14,-0.01,0.19,0.17,0.31,0.17
31.00,-0.32,-0.01,0.17,0.19,0.26,0.10
46.01,-0.47,-0.01,0.25,0.25,0.29,0.13
60.74,-0.69,-0.02,0.22,0.21,0.28,0.12
78.13,-0.94,-0.02,0.21,0.21,0.25,0.09
95.95,-1.22,-0.01,0.22,0.22,0.22,0.09
111.10,-1.42,-0.01,0.25,0.25,0.25,0.11
126.67,-1.53,-0.00,0.29,0.31,0.26,0.14
143.65,-1.55,-0.00,0.31,0.33,0.24,0.14
159.08,-1.57,-0.00,0.34,0.34,0.21,0.13
176.33,-1.54,0.00,0.62,0.61,0.21,0.10
193.45,-1.50,0.00,0.36,0.36,0.23,0.14
210.14,-1.44,0.01,0.45,0.48,0.20,0.07
225.71,-1.37,0.00,0.43,0.43,0.21,0.08
241.43,-1.32,0.00,0.27,0.27,0.22,0.07
256.58,-1.27,0.00,0.41,0.41,0.21,0.13
272.43,-1.18,0.01,0.45,0.45,0.21,0.08
287.86,-1.04,0.01,0.41,0.43,0.18,0.05
302.73,-0.80,0.02,0.31,0.31,0.18,0.06
318.02,-0.49,0.02,0.41,0.43,0.21,0.10
333.59,-0.12,0.03,0.29,0.29,0.17,0.09
348.87,0.26,0.02,0.33,0.31,0.17,0.09
364.72,0.64,0.03,0.31,0.29,0.21,0.12
380.43,1.07,0.03,0.44,0.44,0.16,0.09
395.85,1.54,0.03,0.39,0.41,0.18,0.09
411.13,2.05,0.04,0.29,0.31,0.17,0.10
429.08,2.72,0.04,0.34,0.31,0.10,0.06
445.76,3.29,0.03,0.58,0.58,0.16,0.10
463.43,3.88,0.03,0.27,0.27,0.15,0.10
481.38,4.47,0.03,0.50,0.50,0.15,0.12
498.34,5.02,0.04,0.22,0.23,0.10,0.09
516.01,5.63,0.04,0.34,0.34,0.16,0.15
534.10,6.23,0.03,0.25,0.25,0.13,0.10
550.22,6.73,0.03,0.38,0.35,0.08,0.12
566.49,7.15,0.02,0.31,0.31,0.10,0.15
583.32,7.55,0.02,0.58,0.58,0.06,0.13
601.55,7.93,0.02,0.30,0.29,0.08,0.15
618.81,8.20,0.02,0.27,0.27,0.05,0.11
634.38,8.45,0.01,0.31,0.29,0.05,0.14
650.37,8.57,0.00,0.31,0.31,0.06,0.16
667.62,8.63,0.00,0.25,0.25,0.06,0.14
684.04,8.58,-0.00,0.38,0.34,0.06,0.17
699.05,8.50,-0.01,0.29,0.29,0.06,0.16
716.30,8.39,-0.01,0.43,0.40,0.05,0.14
733.14,8.19,-0.02,0.34,0.33,0.05,0.14
750.25,7.91,-0.02,0.58,0.58,0.06,0.14
768.91,7.56,-0.02,0.28,0.28,0.09,0.19
786.86,7.19,-0.02,0.43,0.43,0.08,0.16
804.53,6.84,-0.02,0.36,0.34,0.07,0.16
821.22,6.52,-0.02,0.33,0.33,0.06,0.16
840.16,6.22,-0.02,0.26,0.26,0.04,0.12
858.11,5.86,-0.02,0.43,0.41,0.06,0.19
873.40,5.52,-0.02,0.28,0.28,0.06,0.14
889.25,5.13,-0.03,0.48,0.46,0.09,0.16
904.68,4.73,-0.03,0.43,0.43,0.10,0.15
921.79,4.31,-0.03,0.36,0.34,0.12,0.12
937.63,3.86,-0.03,0.34,0.32,0.13,0.14
952.49,3.40,-0.03,0.31,0.32,0.15,0.13
967.78,2.91,-0.03,0.29,0.29,0.17,0.14
982.64,2.42,-0.03,0.30,0.30,0.17,0.12
997.36,1.97,-0.03,0.32,0.32,0.21,0.13
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
