x, y, theta, left_speed, right_speed, left_bump, right_bump
16.13,0.12,0.01,0.14,0.15,0.20,0.08
32.83,0.23,0.01,0.17,0.18,0.13,0.03
48.40,0.41,0.02,0.25,0.26,0.13,0.02
65.65,0.73,0.02,0.22,0.22,0.13,0.03
82.76,1.06,0.02,0.28,0.28,0.12,0.03
100.72,1.42,0.02,0.23,0.24,0.10,0.02
118.25,1.72,0.02,0.30,0.30,0.10,0.01
134.38,1.99,0.02,0.32,0.32,0.12,0.02
150.79,2.28,0.02,0.31,0.31,0.14,0.05
166.50,2.51,0.01,0.31,0.31,0.15,0.05
184.32,2.70,0.01,0.34,0.31,0.14,0.03
201.57,2.80,0.00,0.29,0.29,0.11,0.00
219.25,2.88,0.00,0.28,0.27,0.12,0.01
234.82,2.90,0.00,0.21,0.21,0.10,-0.00
252.64,2.91,-0.00,0.24,0.22,0.14,0.01
267.37,2.91,0.00,0.35,0.33,0.09,0.00
282.66,2.84,-0.01,0.31,0.29,0.12,-0.01
299.21,2.70,-0.00,0.58,0.58,0.12,0.00
315.49,2.66,-0.00,0.26,0.24,0.06,0.00
331.48,2.65,0.00,0.25,0.25,0.13,0.00
347.89,2.78,0.01,0.22,0.23,0.13,0.00
364.58,3.02,0.02,0.34,0.34,0.11,0.01
382.82,3.36,0.02,0.27,0.27,0.11,0.00
400.21,3.74,0.02,0.28,0.28,0.08,-0.00
416.76,4.17,0.03,0.31,0.31,0.05,-0.01
433.02,4.70,0.04,0.35,0.36,0.13,0.01
450.13,5.28,0.04,0.37,0.35,0.14,0.00
467.65,5.95,0.04,0.34,0.34,0.09,0.00
485.46,6.61,0.04,0.36,0.36,0.12,-0.00
501.86,7.19,0.04,0.36,0.35,0.14,0.00
518.68,7.84,0.04,0.48,0.50,0.12,0.00
533.82,8.45,0.05,0.43,0.44,0.09,0.00
549.52,9.20,0.05,0.28,0.30,0.11,0.01
566.05,10.10,0.06,0.30,0.31,0.09,0.00
582.43,11.05,0.06,0.46,0.46,0.10,0.02
598.82,12.04,0.06,0.48,0.50,0.09,0.01
615.06,12.98,0.06,0.48,0.48,0.09,0.03
630.47,13.89,0.06,0.26,0.28,0.11,0.05
645.87,14.88,0.06,0.45,0.45,0.12,0.08
660.85,15.84,0.06,0.45,0.45,0.13,0.09
676.39,16.79,0.06,0.31,0.29,0.08,0.04
691.51,17.68,0.06,0.32,0.32,0.09,0.06
706.36,18.55,0.06,0.31,0.31,0.07,0.03
721.20,19.44,0.06,0.32,0.32,0.10,0.05
736.75,20.37,0.06,0.32,0.34,0.09,0.04
752.01,21.30,0.06,0.31,0.32,0.09,0.06
770.21,22.48,0.06,0.39,0.37,0.09,0.06
785.47,23.44,0.06,0.39,0.39,0.10,0.07
800.18,24.33,0.06,0.43,0.42,0.10,0.07
816.56,25.28,0.05,0.29,0.29,0.09,0.06
835.61,26.30,0.05,0.33,0.33,0.15,0.10
854.38,27.33,0.05,0.27,0.27,0.09,0.06
874.00,28.39,0.05,0.29,0.29,0.11,0.06
888.85,29.20,0.05,0.31,0.28,0.12,0.07
904.12,29.90,0.05,0.29,0.29,0.09,0.05
919.68,30.55,0.04,0.31,0.31,0.11,0.06
936.22,31.22,0.04,0.70,0.68,0.08,0.04
952.48,31.90,0.04,0.39,0.39,0.09,0.05
969.16,32.60,0.05,0.40,0.38,0.07,0.03
985.56,33.27,0.04,0.39,0.38,0.06,0.02
1001.26,33.86,0.04,0.33,0.33,0.07,0.03
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
