x, y, theta, left_speed, right_speed, left_bump, right_bump
15.71,-0.21,-0.01,0.12,0.14,0.35,0.18
31.28,-0.28,-0.00,0.17,0.16,0.30,0.11
47.14,-0.28,0.01,0.26,0.27,0.29,0.10
62.71,-0.21,0.00,0.33,0.31,0.25,0.07
79.54,-0.15,0.00,0.38,0.38,0.24,0.10
94.55,-0.09,0.01,0.36,0.38,0.28,0.12
111.53,0.06,0.01,0.34,0.34,0.20,0.06
128.36,0.22,0.01,0.43,0.43,0.23,0.08
145.61,0.42,0.01,0.34,0.34,0.20,0.08
161.61,0.61,0.01,0.30,0.29,0.22,0.09
177.18,0.84,0.02,0.20,0.20,0.13,0.05
192.75,1.08,0.01,0.30,0.29,0.10,0.04
207.48,1.24,0.01,0.18,0.19,0.11,0.04
224.45,1.43,0.01,0.33,0.32,0.11,0.07
241.71,1.58,0.00,0.29,0.30,0.12,0.08
260.64,1.60,0.00,0.47,0.47,0.16,0.11
275.66,1.61,0.00,0.34,0.36,0.10,0.10
290.67,1.64,0.01,0.61,0.61,0.10,0.11
310.17,1.75,0.00,0.39,0.40,0.08,0.11
328.40,1.81,0.00,0.35,0.34,0.09,0.13
344.12,1.82,-0.00,0.32,0.32,0.09,0.12
360.95,1.70,-0.01,0.34,0.36,0.08,0.12
377.36,1.53,-0.01,0.39,0.37,0.04,0.10
394.76,1.35,-0.01,0.39,0.38,0.04,0.09
410.61,1.14,-0.01,0.47,0.47,0.03,0.10
425.62,0.99,-0.01,0.46,0.46,0.01,0.08
440.63,0.79,-0.02,0.76,0.71,0.03,0.13
457.18,0.50,-0.02,0.30,0.30,0.03,0.11
474.43,0.10,-0.03,0.40,0.40,0.00,0.05
489.16,-0.27,-0.02,0.67,0.70,0.05,0.13
506.27,-0.67,-0.02,0.22,0.22,0.07,0.12
522.54,-0.98,-0.02,0.33,0.31,0.05,0.11
540.63,-1.19,-0.01,0.25,0.25,0.07,0.11
558.03,-1.29,-0.01,0.49,0.50,0.06,0.10
573.74,-1.34,-0.00,0.26,0.26,0.04,0.08
588.47,-1.28,0.01,0.25,0.26,0.04,0.09
603.90,-1.10,0.02,0.27,0.28,0.05,0.09
619.61,-0.82,0.02,0.24,0.24,0.08,0.14
634.48,-0.58,0.02,0.26,0.28,0.03,0.07
650.33,-0.34,0.01,0.25,0.25,0.10,0.13
665.62,-0.22,0.00,0.19,0.19,0.11,0.13
681.33,-0.16,0.00,0.20,0.20,0.13,0.12
696.77,-0.16,-0.00,0.26,0.24,0.14,0.14
712.06,-0.21,-0.00,0.15,0.15,0.18,0.20
728.05,-0.19,-0.00,0.20,0.20,0.17,0.13
743.34,-0.22,-0.00,0.17,0.17,0.21,0.17
758.35,-0.24,-0.00,0.15,0.15,0.13,0.14
773.08,-0.22,0.00,0.17,0.17,0.15,0.15
788.66,-0.14,0.01,0.15,0.14,0.16,0.16
805.35,0.06,0.02,0.24,0.26,0.12,0.16
821.34,0.32,0.02,0.30,0.30,0.17,0.20
837.89,0.60,0.02,0.35,0.33,0.12,0.14
852.90,0.80,0.01,0.11,0.12,0.11,0.14
868.33,1.02,0.02,0.26,0.26,0.15,0.15
883.62,1.32,0.02,0.17,0.17,0.12,0.13
900.17,1.67,0.02,0.14,0.14,0.18,0.20
916.44,1.94,0.02,0.15,0.15,0.17,0.17
931.45,2.22,0.02,0.31,0.31,0.19,0.17
947.16,2.47,0.01,0.30,0.31,0.16,0.14
963.29,2.72,0.02,0.24,0.25,0.17,0.15
979.00,3.14,0.03,0.33,0.35,0.17,0.19
994.42,3.65,0.04,0.11,0.10,0.19,0.18
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
