x, y, theta, left_speed, right_speed, left_bump, right_bump
15.01,0.00,0.00,0.12,0.12,0.18,0.06
31.56,0.04,0.00,0.40,0.42,0.15,0.04
47.98,0.11,0.01,0.22,0.25,0.15,0.05
64.39,0.19,0.00,0.28,0.30,0.12,0.00
81.23,0.29,0.01,0.17,0.17,0.08,-0.02
96.94,0.45,0.01,0.22,0.25,0.12,0.00
113.21,0.62,0.02,0.26,0.27,0.16,0.02
131.31,0.90,0.01,0.32,0.32,0.12,0.00
146.32,1.08,0.01,0.20,0.20,0.17,0.02
162.73,1.21,0.01,0.20,0.20,0.16,0.01
180.40,1.32,0.01,0.26,0.26,0.08,0.00
195.70,1.41,0.00,0.34,0.34,0.10,-0.00
213.09,1.45,-0.00,0.39,0.35,0.14,0.02
228.38,1.37,-0.01,0.66,0.63,0.09,0.00
243.67,1.16,-0.02,0.64,0.63,0.12,0.01
258.82,0.91,-0.02,0.34,0.35,0.12,0.01
274.81,0.66,-0.02,0.39,0.39,0.09,0.00
291.08,0.43,-0.01,0.66,0.66,0.11,0.01
308.62,0.26,-0.01,0.39,0.38,0.08,0.01
326.30,0.15,-0.01,0.49,0.49,0.12,0.01
342.43,0.08,-0.00,0.47,0.49,0.11,0.02
357.58,0.02,-0.00,0.35,0.35,0.10,0.01
376.24,-0.02,0.00,0.38,0.40,0.13,0.04
393.49,0.01,0.00,0.46,0.48,0.07,0.00
408.22,0.07,0.01,0.38,0.40,0.08,0.00
423.52,0.14,0.00,0.43,0.43,0.12,0.05
438.25,0.18,0.00,0.29,0.29,0.13,0.04
453.12,0.17,0.00,0.70,0.68,0.12,0.03
469.25,0.17,-0.00,0.56,0.56,0.10,0.02
488.05,0.10,-0.00,0.28,0.28,0.11,0.02
505.16,0.05,-0.00,0.40,0.42,0.11,0.01
522.56,-0.01,-0.00,0.29,0.29,0.08,0.01
539.67,-0.09,-0.00,0.31,0.34,0.09,0.02
554.54,-0.15,-0.00,0.31,0.33,0.11,0.04
571.38,-0.18,-0.00,0.28,0.26,0.07,0.02
587.51,-0.23,0.00,0.27,0.27,0.10,0.04
604.35,-0.22,0.00,0.17,0.17,0.07,0.04
620.06,-0.22,0.00,0.15,0.15,0.09,0.06
636.47,-0.22,-0.00,0.26,0.25,0.09,0.06
654.01,-0.35,-0.01,0.22,0.22,0.10,0.07
670.70,-0.52,-0.01,0.22,0.24,0.10,0.07
685.99,-0.66,-0.01,0.21,0.21,0.13,0.10
701.42,-0.77,-0.01,0.26,0.26,0.11,0.08
717.84,-0.85,-0.00,0.16,0.16,0.10,0.07
732.85,-0.91,-0.01,0.16,0.15,0.11,0.07
748.14,-1.00,-0.00,0.15,0.15,0.07,0.03
765.26,-1.09,-0.01,0.18,0.18,0.10,0.06
780.13,-1.23,-0.01,0.15,0.15,0.11,0.07
795.14,-1.34,-0.01,0.21,0.21,0.10,0.04
810.29,-1.45,-0.01,0.12,0.12,0.12,0.06
825.44,-1.64,-0.01,0.24,0.21,0.11,0.04
841.15,-1.83,-0.01,0.16,0.18,0.12,0.03
858.26,-2.06,-0.01,0.15,0.15,0.14,0.05
874.53,-2.28,-0.01,0.17,0.20,0.12,0.03
890.53,-2.46,-0.01,0.18,0.17,0.12,0.02
906.38,-2.60,-0.00,0.23,0.24,0.13,0.02
921.25,-2.63,-0.00,0.17,0.18,0.11,0.01
938.22,-2.72,-0.01,0.23,0.23,0.15,0.02
953.23,-2.80,-0.00,0.24,0.24,0.10,0.00
968.95,-2.89,-0.00,0.10,0.10,0.09,0.00
984.24,-2.97,0.00,0.11,0.12,0.17,0.02
1000.65,-2.95,0.00,0.10,0.11,0.12,0.03
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
