x, y, theta, left_speed, right_speed, left_bump, right_bump
15.29,0.21,0.02,0.14,0.12,0.07,0.07
30.16,0.43,0.01,0.17,0.17,0.08,0.07
43.91,0.55,0.01,0.23,0.22,0.06,0.06
57.93,0.67,0.01,0.26,0.26,0.08,0.06
73.65,0.76,0.00,0.28,0.28,0.08,0.06
89.50,0.81,0.01,0.26,0.26,0.06,0.05
104.93,1.02,0.03,0.29,0.33,0.03,0.02
122.31,1.63,0.04,0.27,0.27,0.03,0.03
136.19,2.15,0.04,0.31,0.29,0.04,0.05
151.34,2.64,0.03,0.51,0.48,0.03,0.02
165.78,3.04,0.03,0.31,0.31,0.03,0.00
180.37,3.43,0.03,0.29,0.31,0.02,0.02
195.09,3.84,0.03,0.30,0.30,0.05,0.03
209.95,4.25,0.03,0.29,0.28,0.03,0.01
225.10,4.66,0.02,0.36,0.36,0.03,0.01
240.25,4.99,0.02,0.36,0.36,0.03,0.01
255.40,5.32,0.02,0.63,0.65,0.03,0.01
270.12,5.62,0.02,0.63,0.63,0.03,0.01
285.55,5.92,0.03,0.34,0.36,0.04,0.02
300.56,6.27,0.02,0.63,0.63,0.03,0.01
315.43,6.62,0.02,0.32,0.33,0.03,0.01
330.57,6.97,0.02,0.66,0.66,0.06,0.01
346.14,7.31,0.02,0.33,0.31,0.01,-0.02
359.89,7.58,0.02,0.34,0.34,0.03,0.00
373.49,7.88,0.02,0.33,0.31,0.02,-0.02
387.38,8.18,0.02,0.26,0.26,0.04,0.04
401.26,8.53,0.03,0.35,0.37,0.05,0.02
416.13,8.94,0.03,0.34,0.34,0.06,0.01
430.43,9.36,0.03,0.34,0.34,0.01,-0.02
444.59,9.76,0.03,0.25,0.25,0.05,0.01
458.20,10.13,0.02,0.25,0.24,0.02,-0.01
472.78,10.50,0.02,0.50,0.49,0.02,-0.02
488.21,10.85,0.02,0.23,0.21,0.05,-0.00
502.79,11.18,0.02,0.35,0.35,0.05,-0.00
517.10,11.51,0.02,0.28,0.28,0.07,0.01
531.69,11.83,0.02,0.50,0.52,0.06,0.00
546.97,12.26,0.03,0.22,0.22,0.05,-0.01
561.70,12.70,0.03,0.37,0.37,0.04,-0.02
576.70,13.12,0.03,0.30,0.31,0.07,-0.00
591.14,13.69,0.05,0.50,0.53,0.06,-0.01
608.65,14.58,0.05,0.27,0.26,0.07,-0.02
622.24,15.32,0.05,0.26,0.28,0.09,0.00
637.37,16.15,0.05,0.31,0.31,0.08,-0.01
651.52,16.93,0.06,0.34,0.36,0.07,0.00
665.80,17.75,0.05,0.36,0.34,0.08,-0.01
680.37,18.53,0.05,0.34,0.36,0.06,-0.01
694.80,19.31,0.05,0.37,0.37,0.10,0.01
709.65,20.10,0.05,0.28,0.30,0.07,-0.02
724.78,20.91,0.05,0.28,0.26,0.06,-0.01
740.61,21.75,0.05,0.28,0.30,0.08,0.01
756.44,22.56,0.05,0.30,0.30,0.08,0.02
772.42,23.34,0.05,0.28,0.28,0.06,-0.02
788.11,24.12,0.05,0.28,0.28,0.05,-0.02
803.66,24.88,0.05,0.36,0.36,0.05,-0.01
818.23,25.61,0.05,0.36,0.34,0.05,-0.01
833.09,26.33,0.05,0.31,0.31,0.06,0.01
847.52,26.98,0.04,0.36,0.34,0.07,0.01
861.96,27.58,0.04,0.34,0.36,0.05,-0.01
876.68,28.16,0.04,0.34,0.34,0.06,-0.01
890.83,28.77,0.05,0.34,0.36,0.06,-0.01
906.81,29.51,0.05,0.34,0.34,0.05,-0.02
921.66,30.22,0.05,0.36,0.34,0.05,-0.01
935.82,30.90,0.05,0.36,0.34,0.05,-0.02
950.53,31.57,0.05,0.36,0.34,0.07,-0.02
965.25,32.21,0.04,0.34,0.36,0.05,-0.01
979.40,32.84,0.05,0.34,0.36,0.05,-0.02
996.92,33.64,0.05,0.34,0.36,0.04,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
